Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無,DMIS,DMISの選出理由
107,掛茶屋,その時海岸には掛茶屋が二軒あった。私はふとした機会からその一軒の方に行き慣れていた。,"There were two bathing-booths on the shore, but I picked out one of them haphazard and made it my head-quarters.",,bathing-booths,Adaptation,原文の「掛茶屋（飲食・休憩機能を含む）」を、ターゲット文化（西欧）の海水浴文化において一般的かつ機能的に等価な「bathing-booths（更衣用小屋）」という文化的実体に置き換えているため。,True,Minimization,「掛茶屋」が持つ茶店や休憩所としての文化的固有性（お茶を提供する機能など）が「bathing-booths」（入浴・脱衣小屋）に置き換えられることで完全に失われており、読者は自文化の既知の概念で処理し固有性を認識しないため。
123,西洋人,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The moment the exceedingly white skin of that foreigner made its appearance in the booth, my attention was fixed upon him.",,foreigner,Generalization,「西洋人」という特定の地域出身者を指す言葉を、より一般的な「foreigner（外国人）」に一般化しているため。,True,Minimization,「西洋人」という特定の歴史的・文化的背景を持つ概念が、より一般的な「foreigner（外国人）」という言葉に置き換えられており、読者はその固有の差異を認識することなく、自文化にも存在する普遍的な概念として処理するため。
123,掛茶屋,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The moment the exceedingly white skin of that foreigner made its appearance in the booth, my attention was fixed upon him.",,the booth,Generalization,原文「掛茶屋」を、より一般的・中立的な用語である「the booth」（仕切られた空間、売店、屋台）に一般化しているため。,True,Minimization,「掛茶屋」が持つ日本の伝統的な簡易茶店という固有性が、非常に一般的な「the booth」という表現に置き換えられることで完全に失われており、読者はそれを自文化にも存在する普遍的な概念として処理するため。
124,浴衣,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,"He wore a real Japanese yukata, which he took off and threw upon a bench in a bathhouse. He then crossed his arms and stood facing the sea.",yukata: A kind of kimono worn by men and women in summer.,yukata,Amplification,原文「浴衣」を「yukata」と借用し、さらに注釈で「A kind of kimono worn by men and women in summer.」と説明（増幅）を加えているため。,True,Adaptation,音写された「yukata」に、「A kind of kimono worn by men and women in summer.」という注釈が加えられており、読者はその機能と文脈を理解し、浴衣が異文化においてどのように使われるかを共感的に把握できるため。
126,猿股,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。私には～～不思議だった。,"He had nothing on except the short drawers which we wore, and this in itself struck me as strange.",,short drawers,Generalization,原文「猿股」を、日本の伝統的な下着からより一般的で中立的な「short drawers」に一般化しているため。,True,Minimization,「猿股」という日本固有の伝統的な下着が、「short drawers」という自文化にも存在する普遍的な「短い下着」の概念に置き換えられており、読者はその文化的固有性を認識せず、自文化の既知の概念と同化させて理解するため。
128,由比ヶ浜,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,"Two days before I had gone to Yuigahama, where I lolled for a long time on the sand, watching foreigners swim.",,Yuigahama,Borrowing,原文「由井が浜」を「Yuigahama」と音写し、補足説明を加えていないため。,True,Acceptance,音写でそのまま提示しており、具体的な補足説明はないため、読者は「由比ヶ浜」の具体的なイメージや文化的な背景を深く理解できないが、他の一般的な名詞に置き換えていないため、自文化にはない固有名詞としてその差異を認識できるため。
135,猿股,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,"Fresh from this introduction to foreign methods of bathing, I was surprised at this man's indifference to exposing his body.",,exposing his body,Reduction,原文の「猿股」という特定の衣類の情報が、訳文では「exposing his body」という一般的な露出の表現に削減されているため。,True,Minimization,「猿股」という日本特有の衣服と、それ一枚で人前に立つことの文化的意味合いが、「身体を露出すること」という普遍的な行為に置き換えられており、読者はその固有性を認識する機会を失うため。
139,手拭い,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,"The Japanese wrapped his head in the towel as soon as he caught it, and began to walk towards the sea.",,towel,Generalization,原文「手拭」を、日本の伝統的な布（切りっぱなしの木綿）という特定の意味合いを持つ用語から、より一般的・中立的な「towel」（一般的にはタオルはパイル地）に一般化しているため。,True,Minimization,「手拭い」を一般的な「towel」に置き換えており、読者はその素材、形状、伝統性といった文化的固有性を認識できず、自国のタオルと同じ普遍的なものとして処理するため。
143,遠浅,すると彼らは 真直 に波の中に足を踏み込んだ。そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,"They stepped into the waves at once, and passing through the multitude who were screaming near the shore, went further out to a considerably less crowded part, and began to swim.",,なし,Reduction,原文にあった「遠浅」という地形的特徴が、訳文で対応する表現がなく完全に省略されているため。,True,Minimization,「遠浅」という日本の海岸線に特徴的な地形を示す言葉が、英訳では「near the shore」という普遍的な「岸の近く」という表現に置き換えられており、読者はその固有の特性を意識せず、自文化にある一般的な「岸の近く」という概念と同じものとして処理するため。
154,麦藁帽,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,"This time the sensei came alone, wearing a straw hat. ",,straw hat,Literal translation,「麦藁（Straw）」＋「帽（Hat）」という構成要素ごとの直訳であり、辞書的な意味・形式が完全に一致しているため。,True,Minimization,「麦藁帽」を自文化にも存在する一般的な概念である「straw hat」に置き換えており、読者は日本の麦藁帽の固有性を意識せず、自国の既知の帽子として処理するため。
174,白絣,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,"It was not until he fastened hekoobi around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",sirogasuri: A kind of cotten cloth.,shirogasuri yukata,Amplification,原文「白絣」を「shirogasuri」と音写しつつ「yukata」という詳細を加え、さらに注釈で「A kind of cotten cloth」と補足説明（増幅）しているため。,True,Acceptance,「shirogasuri」が音写で提示されており、詳細な補足説明はないものの、「yukata」という他の文化的要素と組み合わされることで、読者はそれが自文化にはない特定の種類の衣類であるという固有の差異を認識できるため。
174,兵児帯,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",hekoobi: A kind of sash,hekoobi,Amplification,原文「兵児帯」を「hekoobi」と音写（借用）し、さらに「A kind of sash」という注釈（詳細）を加えているため。,True,Adaptation,音写された「hekoobi」に「A kind of sash」という簡潔な機能説明が訳注として加えられており、読者はその文化的要素の固有性を認識しつつ、それが帯の一種であり、体を締め付けるもの（fastened... around）であるという文脈的な機能を理解できるため。
225,鎌倉,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,But two or three days in the city dimmed the glamour of Kamakura.,,Kamakura,Borrowing,原文「鎌倉」を「Kamakura」と音写し、英訳・注釈にも補足説明がないため。,True,Acceptance,「Kamakura」という固有名詞をそのまま提示し、読者は「自文化とは異なる日本の都市」として差異を認識できるものの、その歴史的・文化的背景や「魅力」の具体的な内容は説明されていないため。
238,下女,私はすぐ玄関先を去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,"So I did not turn away at once, but stood looking at the maid's face, hesitating.",,maid,Literal translation,原文「下女」を「maid」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,True,Minimization,「下女」が持つ日本固有の身分制度や社会背景に由来する固有のニュアンスが「maid」という普遍的な概念に置き換えられており、読者は自文化にも存在する家事使用人と同化して理解し、その固有性を意識できないため。
238,名刺,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいった。,"The maid, recognizing me as the visitor of the previous day, left me there and disappeared within the house.",,なし,Reduction,原文にあった「名刺」という文化的要素が、訳文で対応する語句がなく、具体的な情報が完全に省略されているため。,True,Denial,原文にあった「名刺」という文化的要素が英訳では完全に削除されており、読者はその要素の存在自体を認知できないため。
241,雑司ヶ谷,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、英訳に補足説明が一切ないため。,True,Acceptance,補足なく音写でそのまま提示されており、読者はその地名が自文化とは異なる固有のものであるという差異を認識するが、それ以上の具体的な情報や意味を理解できる状態にはないため。
241,仏,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,,grave,Modulation,[人 → 場所]原文「仏」が「故人」を指すのに対し、訳文「grave」は「墓」という場所を指す。対象の認知的カテゴリーが「人」から「場所」へ変更されているため。,True,Minimization,「仏」が持つ故人や信仰対象としての宗教的・精神的な固有のニュアンスが「grave」（墓）という一般的な概念に置き換えられており、読者は日本の「仏」と自文化の「墓」を同じものとして処理し、固有性を意識しないため。
248,楓,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",,mapletrees,Literal translation,原文「楓」を、英語圏で確立している等価語である「maple tree」の複数形「mapletrees」で対応させているため。,True,Minimization,「楓」を一般的な「mapletrees」と訳しており、日本の楓が持つかもしれない特定の文化的意味合い（紅葉を愛でる文化や庭園における配置など）が失われているため、読者は自国のカエデと同じ普遍的な植物として処理し、その固有性を意識しない状態となるため。
249,茶店,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",,restingbooth,Description,原文「茶店」を「restingbooth」と訳しており、その機能（resting）と形態（booth）を説明しているため。茶店（Tea house）と定訳を使っていない。,True,Minimization,「茶店」が持つお茶を提供するという固有の文化的機能が「restingbooth」という普遍的な「休憩所」に置き換えられており、読者はその文化的固有性を認識せず自国の休憩施設と同じものとして処理するため。
266,一切衆生悉有仏生,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。全権公使何々というのもあった。,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",,"""All living things possess the quality of Buddha""",Literal translation,原文「一切衆生悉有仏生」を「All living things possess the quality of Buddha」と、構成要素を逐語訳しているため。構造模倣による不自然さもない。,True,Acceptance,「All living things possess the quality of Buddha」は文化的要素の核心部分を英語で説明しているが、その背景や機能に関する補足説明が一切ないため、読者は自文化には直接的な等価物がない固有の概念として差異を認識するに留まり、深い理解には至らないため。
266,塔婆,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。全権公使何々というのもあった。,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",,a stupa,Established equivalent,原文「塔婆」を、英語圏で仏教の特定の構造物を指す言葉として確立している「stupa」という等価語で訳しているため。,True,Acceptance,「塔婆」を「a stupa」と訳すことで、日本に関する知識が皆無の読者も、それが一般的な墓石とは異なる仏教的な要素を持つものであるという「差異」を認識できるが、具体的な形状や機能に関する補足説明がないため、それ以上の深い理解や共感には至らないため。
269,墓標,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,"Unlike me, the sensei did not seem to see humour or irony in the way those who had been left behind expressed their grief on those stones.",,stones,Generalization,原文の「墓標」を「stones」と訳しており、特定の機能を持つ「墓標」を、より一般的・中立的な「石」に一般化しているため。,True,Minimization,「墓標」が持つ日本固有の文化的要素が「stones」という普遍的な概念に置き換えられており、読者はその固有性を意識せず、自文化の類似概念や普遍的な「石」として処理するため。
274,銀杏,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,"On the border of the walk stood a huge gingko- tree, so tall that it seemed to be hiding the sky.",,gingko- tree,Literal translation,「銀杏」を「gingko- tree」と訳しており、これは英語圏で「イチョウの木」を指す確立された表現であるため。,True,Acceptance,「銀杏」が「gingko- tree」と音写された固有名詞と普遍名詞の組み合わせで提示されており、読者は「gingko」という部分から自文化にはない特定の種類の木であるという差異を認識できるが、その具体的な特性や文化的な背景に関する補足説明がないため。
276,黄葉,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,"The leaves turn entirely yellow, and the ground hereabout will be covered with the golden fallen leaves.",,turn entirely yellow,Description,原文「黄葉」という言葉を使わず、その現象・状態を「turn entirely yellow」と説明に置き換えているため。,True,Minimization,「黄葉」が日本の秋の特定の美的要素や文化的文脈を持つ言葉であるにも関わらず、「turn entirely yellow」という普遍的な自然現象の記述に置き換えられているため、読者は自国にもある一般的な「葉が黄色くなる現象」と同じものと理解し、日本固有の概念としての差異を認識できない状態にあるため。
279,鍬,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,"The man, who was digging the uneven ground to make a new resting-place, stopped his work, and stood looking at us.",,stopped his work,Reduction,原文の「鍬」という具体的な文化的要素が訳文に存在せず、「stopped his work」と一般的な動作に情報が省略されているため。,True,Denial,「鍬」という具体的な道具を示す文化的要素が英訳では「work」という抽象的な概念に置き換えられており、読者はその要素の存在自体を認知できないため。
310,小春,私の心は五分と 経たないうちに平素の弾力を回復した。私はそれぎり暗そうなこの雲の影を忘れてしまった。ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,"My heart recovered its usual elasticity in about five minutes, and after that that shadow never affected me till one evening at the end of the Indian Summer when it again oppressed me.",,Indian Summer,Established equivalent,原文の文化的要素である「小春」を、英語圏で慣用的に使われる等価語である「Indian Summer」で表現しているため。,True,Minimization,「小春」を自文化圏に存在する既知の概念である「Indian Summer」に置き換えており、読者は日本の「小春」が持つ固有の文化的・季節的ニュアンスを認識せず、自国の現象と同じものとして処理するため。
312,銀杏,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,"As I talked with the sensei, there came to my mind the image of the huge gingko-tree to which he had specially attracted my attention.",,gingko-tree,Literal translation,原文「銀杏」が、英語圏で樹木名として定着している等価語「gingko」に対応し、さらに「大樹」の「樹」が補足されているため。**,True,Minimization,「gingko-tree」は英語圏において広く認識されている樹木の一種であり、読者はそれを自文化（あるいは世界共通の自然）の既知の概念としての「木」に置き換えて理解するため、「銀杏」が日本文化において持つ固有の象徴性や意味を認識できない状態にあるため。
317,銀杏,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,"""Do you think the leaves have fallen from the gingko-tree in Zoshigaya yet?""",,gingko-tree,Literal translation,原文「銀杏」を英語圏で定着している訳語「gingko-tree」で対応させているため。,True,Acceptance,「gingko」という固有の名称を残し「tree」とすることで、読者は自文化にはない特定の種類の木であるという「差異」を認識できる一方、詳細な補足説明がないため文化的な背景まで理解するには至らないため。
318,空坊主,「まだ空坊主にはならないでしょう」,"""Perhaps it is not entirely bare yet.""",,entirely bare,Modulation,[比喩 → 意味]「坊主（比喩）」から「裸/何もない（意味/状態）」へ。比喩表現をその意味内容（Sense）に変換するのは、認識のカテゴリーを変えるModulation（変調）であるため。,True,Minimization,「空坊主」が持つ日本の仏教文化に由来する比喩的意味合い（坊主頭のイメージや、そこから転じた「何もない」状態のユニークな表現）が、「entirely bare」という普遍的な「完全に裸の／何もない」という状態を表す言葉に置き換えられており、読者はその固有性を意識せず自文化の既知の概念として処理するため。
320,お墓参り,今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,May I go with you when you visit the grave ?,,visit the grave,Literal translation,「お墓（the grave）」へ「参る（visit）」という標準的な直訳です。Modulation（視点変更）の要素（例：「死者に会いに行く」など）もない。,True,Minimization,「お墓参り」が持つ日本文化固有の儀式性や頻度、家族の絆といった意味合いが、普遍的な行為である「visit the grave」に置き換えられており、読者は自文化の一般的な墓への訪問と同一視し、その固有性を認識できないため。
331,雑司ヶ谷,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。,All of a sudden the strong memory of Zoshigaya as I called to the sensei came to me.,,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、補足説明を加えていないため。,True,Acceptance,「雑司ヶ谷」が「Zoshigaya」と音写でそのまま提示されており、安易な置き換えを避けているため。読者はその場所が具体的にどのような場所であるかを知ることはできないものの、「日本の固有の地名である」という差異を認識し、受け入れる状態にあるため。
351,座敷,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。,"Once in a while I fell in with some students of his own province, but none of them seemed as friendly with him as I was.",,fell in with,Reduction,原文「座敷」という場所に関する情報が、動詞「同座する」の訳「fell in with」において完全に省略されているため。,True,Denial,「座敷」という日本家屋の具体的な空間を示す文化的要素が英訳では完全に削除されており、読者はその存在自体を認知できないため。
377,食卓,私は依然として先生に会いに行った。その 内 いつの間にか先生の食卓で 飯 を食うようになった。,"I continued to go to see him, and finally I was sometimes invited to take supper with him, which gave me more opportunities of conversing with his wife.",,take supper with him,Modulation,"[モノ → 行為]食卓（場所/モノ）」を「夕食をとる（行為）」に変換しています。場所から行為への視点変更（Part for Whole, or Object for Action）であるため。",True,Minimization,「食卓で飯を食う」という、日本の家庭における親密さや関係性の深まりを象徴する「場」の概念が、英訳では「take supper with him」という普遍的な「行為」に置換されており、読者は日本の「食卓」の固有の文化的意味合いを意識せず、自文化の一般的な「夕食を共にすること」として処理するため。
393,盃,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,"Drawing her well-shaped eye-brows together, she held to her lips the cup which I had half filled with saké.",saké: A kind of wine made from rice.,the cup,Generalization,原文「盃」が特定の酒器であるのに対し、訳文「the cup」は一般的な飲み物の容器であり、より一般的・中立的な用語に一般化しているため。,True,Acceptance,「盃」を一般的な「the cup」と訳しているものの、「saké」という日本固有の飲み物と結びつけられており、その「saké」には注釈が付いているため、読者は「一般的なカップとは異なる、特定の飲み物を飲むための容器」として、その差異を認識するに留まるため。
412,天罰,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,"His wife was silent. But I asked him to explain what he meant. ""It's our nemesis,""he said, laughing aloud.",,nemesis,Modulation,[概念の変更]原文の「天罰」が持つ「天からの罰」という視点から、訳文の「nemesis」が持つ「避けられない報い」という視点に、認知的カテゴリーが変更されているため。,True,Minimization,「天罰」が持つ「天」という超越的・神聖な主体からの罰という固有のニュアンスが、「nemesis」という自文化の既知の概念に置き換えられることで希薄になり、読者はその固有性を意識せず自国の「報い」や「宿敵」といった普遍的な概念として処理してしまうため。
424,箱根,私は箱根から貰った絵端書をまだ持っている。,I still have the picture postcard which he sent to me from Hakone.,,Hakone,Borrowing,原文「箱根」を「Hakone」と音写（ローマ字化）し、訳文にも注釈にも補足説明がないため。,True,Acceptance,「Hakone」をそのまま音写しており、具体的な説明がないため読者はその場所の性質や重要性を理解できないものの、「自文化にはない、日本の特定の場所の名前」という差異を認識できるため。
424,端書,私は箱根から貰った絵端書をまだ持っている。,I still have the picture postcard which he sent to me from Hakone.,,postcard,Literal translation,「端書」＝「Postcard」は辞書的な等価語。,True,Minimization,「端書（絵端書）」が「picture postcard」という、読者自身の文化で広く知られている完全に等価な概念に置き換えられており、日本の「端書」に固有の文化的な背景や差異を認識することなく、自国の絵はがきと同じものとして処理するため。
425,日光,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"When he went to Nikko, I got a letter from him which contained a maple leaf.",,Nikko,Borrowing,原文「日光」を「Nikko」と音写し、補足説明を加えていないため。,True,Acceptance,「Nikko」は日本語の固有名詞を音写したものであり、読者はそれが自文化とは異なる特定の場所の名前であると認識できるが、その場所の歴史的・文化的背景や重要性についての補足説明が一切ないため、差異の認識に留まる状態であるため。
425,紅葉(もみじ）,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"When he went to Nikko, I got a letter from him which contained a maple leaf.",,a maple leaf,Literal translation,原文「紅葉の葉」を、英語圏で慣用的に紅葉したカエデの葉を指す等価語「a maple leaf」で対応させているため。,True,Minimization,「紅葉の葉」という日本文化固有の美意識や秋の風物詩としての意味合いを持つ要素が、単に植物学的な「a maple leaf」（カエデの葉）に置き換えられており、読者はその固有性を意識せず自文化の一般的なカエデの葉と同じものとして処理するため。
429,格子,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,"As the drawing-room in his house was next to the entrance-hall, my ears could catch the voices clearly enough to detect their sharpness, though I stood outside of the entrance-door.",,outside of the entrance-door,Reduction,原文「格子」という建築要素が英訳では訳出されず、「outside of the entrance-door」という位置情報で処理されているため。,True,Denial,原文にあった文化的要素である「格子」が英訳では完全に削除され、「outside of the entrance-door」という場所の説明に置き換わっているため、読者はその要素の存在自体を認知できない。
