Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無,DMIS,DMISの選出理由
107,掛茶屋,その時海岸には掛茶屋が二軒あった。,"In those days, there were two tea houses on the beach.",,tea houses,Generalization,"「掛茶屋」という特定的な概念を、""tea houses""という普遍的・中立的な概念に一般化しているため。",True,Minimization,「掛茶屋」が持つ簡易的な茶店という固有の概念が、普遍的な「tea houses」という言葉に置き換えられており、日本特有の文化的ニュアンスや違いが消えて読者に伝わらないため。
123,西洋人,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The Westerner, with his extremely pale skin, had already attracted my attention when I approached the tea house.",,Westerner,Literal translation,「西洋人」を「Westerner」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,True,Minimization,「西洋人」という日本語が持つ日本文化からの視点や意味合いが、普遍的な「Westerner」という言葉に置き換えられることで、その固有性が読者Aさんには伝わらず、自文化の概念と同一視されるため。
123,掛茶屋,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The Westerner, with his extremely pale skin, had already attracted my attention when I approached the tea house.",,tea house,Generalization,"「掛茶屋」という特定的な概念を、""tea houses""という普遍的・中立的な概念に一般化することで、読者に日本文化の特殊性を意識させず、物語の流れをスムーズにする（文化差を最小化する）ことを意図したと解釈できる。",True,Minimization,「掛茶屋」が持つ日本の特定の文化的背景や形態（例えば、道端の簡易的な茶屋、旅籠に付随する休憩所など）が、英語圏にも存在する一般的な概念である「tea house」に置き換えられているため、読者はその固有性を認識せず、自文化の類似概念として処理してしまうため。
124,浴衣,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,"He was standing with folded arms, facing the sea; carelessly thrown down on the stool by his side was a Japanese summer dress which he had been wearing.",,a Japanese summer dress,Description,原文「浴衣」という言葉を使わず、その形態や機能（日本の夏のドレス）を説明しているため。,True,Minimization,「浴衣」が持つ和服としての形状、素材、着用方法、用途といった固有性が、「summer dress」という自文化（西洋文化）の既知の概念に置き換えられることで大きく希薄化しているため。読者は「日本の夏のドレス」として、自文化の「夏のドレス」の延長線上にあるものとして処理し、本来の「浴衣」が持つ差異や固有性を深く認識できない状態にあると判断されるため。
126,猿股,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。,He had on him only a pair of drawers such as we were accustomed to wear.,,a pair of drawers,Generalization,原文「猿股」という特定の形態の日本的下着を、より一般的・中立的な下着を指す「drawers」に一般化しているため。,True,Minimization,「猿股」が自文化の既知の概念である「a pair of drawers」に完全に置換されており、さらに「such as we were accustomed to wear」という説明によって読者は文化的要素の固有性を意識せず、自国の一般的な下着と同じものとして処理するため。
128,由比ヶ浜,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,"Two days previously I had gone to Yuigahama and, sitting on top of a small dune close to the rear entrance of a Western-style hotel, I had whiled away the time watching the Westerners bathe.",,Yuigahama,Borrowing,原文「由井が浜」を「Yuigahama」と音写（ローマ字化）し、英訳文中に一切補足説明がないため。,True,Acceptance,文化的要素が音写で提示され、安易な置き換えを避けているため、読者は「日本の固有の地名」として自文化との差異を認識できるものの、その場所が持つ具体的な文化的・地理的特性に関する補足説明がないため、深い理解には至らないため。
135,猿股,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,"After having observed such a scene, it was natural that I should think this Westerner, who stood so lightly clad in our midst, quite extraordinary.",,lightly clad,Generalization,原文「猿股」という日本の下着が、より一般的な状態を表す「lightly clad（薄着）」という表現に一般化されているため。,True,Minimization,「猿股」という日本固有の下着が「lightly clad」（薄着の）という一般的な表現に置き換えられており、読者はその特定の形状や、下着一枚で人前に立つことの文化的文脈という固有性を認識できず、自文化にもある「薄着」という普遍的な概念として処理してしまうため。
139,手拭い,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,"The Japanese then tied the towel around his head, and immediately began to walk towards the sea.",,towel,Generalization,「手拭い」という日本の特定の文化的布製品を、より一般的で中立的な「towel」に一般化しているため。,True,Minimization,「手拭い」を「towel」に置き換えることで、その固有性（素材の薄さや特定の用途、文化的な背景など）が消えており、読者は自文化の一般的なタオルと同一視して理解するため。
143,遠浅,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,"They strode determinedly into the water and, making their way through the noisy crowd, finally reached a quieter and deeper part of the sea.",,なし,Reduction,原文「遠浅」が指す「浅い場所」という地理的情報が、訳文では明示的な語句として省略されているため。,True,Minimization,「遠浅」という固有の地形的特徴が英訳では「quieter and deeper part of the sea」と訳されており、その「遠くまで浅い」という固有性が完全に消滅し、読者は自文化にも存在する一般的な「海の深い部分」と誤って理解するため。
154,麦藁帽,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,"This time, he arrived without the Westerner, wearing a straw hat.",,straw hat,Literal translation,原文「麦藁帽」を、英語圏で定着している等価語「straw hat」で対応させているため。,True,Minimization,自文化の既知の概念（等価物）に完全に置き換えられており、読者は日本における「麦藁帽」が持つかもしれない微細な文化的含意や文脈的固有性を意識せず、自国の麦藁帽子と同じものとして普遍的に処理するため。
174,白絣,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",,なし,Reduction,原文の「白絣」という、先生が着用している着物の種類を示す文化的要素が、英訳では完全に省略されているため。,True,Denial,原文にあった「白絣」という衣服に関する情報が英訳では完全に削除されており、読者はその文化要素の存在自体を認知できないため。
174,兵児帯,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",,なし,Reduction,原文にあった「兵児帯」という文化的要素が、訳文では完全に省略されているため。,True,Denial,原文で言及されている「兵児帯」という文化的要素が英訳では完全に削除されており、読者はその存在を認識することすらできないため。
225,鎌倉,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,"A few days after my return, however, I began to feel less inclined to do so.",,なし,Reduction,原文の文化的要素「鎌倉」が、英訳には対応する語句がなく完全に省略されているため。,True,Denial,原文の「鎌倉」という文化的要素が英訳では完全に削除されており、読者はその存在を認知することも、それが意味する具体的な「気分」との関連性も理解できないため。
238,下女,私はすぐ玄関先を去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,"I therefore hesitated in the front hall, staring at the maid who had informed me of her master's absence. ",,maid,Literal translation,原文「下女」を「the maid」と辞書的な意味の通りに直訳し、形式・機能・意味が概ね一致しているため。,True,Minimization,「下女」を一般的な「maid」に置き換えており、読者はその言葉の背後にある日本の特定の社会的・歴史的文脈を意識せず、自文化の既知の概念（家事使用人）と同一視して、固有性（違い）が消えているため。
238,名刺,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいっ,"She seemed to remember that I had called before and left my card.Asking me to wait, she went away.",,card,Generalization,原文の「名刺」という特定の情報カードを、より一般的・中立的な用語である「card」に置き換えているため。,True,Minimization,「名刺」という日本の文化的要素を、英語圏の読者にとって既知の概念である「card」に完全に置き換えており、読者は名刺が持つ固有の機能や文化的意味合いを意識せず、自文化の類似概念として処理するため。
241,雑司ヶ谷,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写（ローマ字化）し、英訳に補足説明を一切加えていないため。,True,Acceptance,「Zoshigaya」が音写でそのまま提示され、それが「墓地」という特定の場所を示す固有名詞であることが文脈から伝わるため、読者はその詳細を知らずとも「自文化にはない固有の地名」として差異を認識できる状態にあるため。
241,仏,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",,grave,Modulation,[人-> 場所]「仏（霊/人）」から「墓（場所）」への変換は、抽象から具体への視点変更（部分と全体/メトニミー）であるため。,True,Minimization,日本語の「仏」が持つ仏教的な死生観や、故人を供養する対象としての固有な意味合いが、英訳の一般的な「grave」（墓）に置き換えられており、読者はこの文化的要素を自文化の既知の概念と同一視して固有性を認識できないため。
248,楓,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。,From the left side of a field I entered the cemetery and proceeded along a broad avenue bordered on each side by maple trees.,,maple trees,Literal translation,原文「楓」を「maple trees」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,True,Minimization,「楓」を「maple trees」という英語圏でも広く知られた既知の植物名に置き換えており、読者は日本固有の楓の特性やこの文脈での文化的意味合いを意識せず、自国のカエデと同じものとして普遍的に処理するため。
249,茶店,するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,"There was a tea house at the end of the avenue, and I saw coming out of it someone that looked like Sensei.",,tea house,Literal translation,原文「茶店」を「tea house」と、「茶（tea）」と「店（house）」を逐語訳して組み合わせ、構造的に借用しているため。,True,Minimization,「茶店」という日本の特定の文脈（街道沿いの休憩所、簡素な和風の店舗など）を持つ文化的要素が、「tea house」という普遍的な機能を示す言葉に置き換えられており、読者は日本の「茶店」が持つ固有性や差異を意識せず、自国の同様のお茶を提供する施設と同じものとして処理してしまうため。
266,一切衆生悉有仏生,先生と私は通りへ出ようとして墓の間を抜けた。 依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",,All living things bear within themselves the essence of Buddha,Literal translation,「一切衆生悉有仏生」を「All living things bear within themselves the essence of Buddha.」と構成語句を逐語訳しているため。,True,Acceptance,「Buddhist inscriptions」という修飾により、読者はこの概念が自文化にはない仏教固有のものであると認識し、差異を受け入れようとする状態にあるため。
266,塔婆,一切衆生悉有仏生と書いた塔婆などが建ててあった。,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",,those with Buddhist inscriptions,Description,「塔婆（Sotoba）」という具体的な仏教供養のための板を、その**機能・内容（仏教の碑文が書かれたもの）**を説明するフレーズに置き換えているため。,True,Minimization,「塔婆」という特定の形状や機能を持つ仏教の供養具の固有性が「those with Buddhist inscriptions」（仏教の碑文が書かれたもの）という普遍的な概念に置き換えられており、読者はその具体的な形状や供養という文化的な機能を認識できず、自文化の碑文などと同等と誤って処理してしまうため。
269,墓標,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,"Sensei did not seem to find the way in which different customs were reflected in the tombstones amusing or ironical, as I did.",,tombstones,Literal translation,原文「墓標」を「tombstones」と、辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,True,Acceptance,「墓標」を一般的な「tombstones」と訳しているため普遍的な概念として受け止められる可能性があるが、「the way in which different customs were reflected in the tombstones」という文脈によって、墓標が単なる墓石ではなく、文化的な多様性や習慣を反映する媒体であるという固有の役割が示唆されており、読者は自文化のそれとは異なる側面を認識できるため。
274,銀杏,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,"Towards the end of the cemetery, there stood a gingko tree, so large that it almost hid the sky from view.",,gingko tree,Literal translation,「銀杏」を「gingko tree」と訳しており、これは英語圏で「イチョウの木」を指す確立された表現であるため。,True,Acceptance,「銀杏」を「gingko tree」と、特定の樹種としてそのまま提示しており、安易な「a tree」のような置き換えを避けているため、読者はそれが「私の国にある木とは違う、固有の種類の木」であるという差異を認識できる状態にあるため。
276,黄葉,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,"The tree will be a mass of yellow, and the ground will be buried beneath a golden carpet of fallen leaves.",,a mass of yellow,Description,「黄葉」という現象そのものを直接訳さず、その結果としての視覚的な状態「a mass of yellow」で説明しているため。,True,Minimization,原文の「黄葉」が持つ秋の特定の自然現象としての固有性が、「a mass of yellow」という普遍的な色彩描写に置き換えられており、読者は自国の木が黄色くなる現象と同じものとして処理し、固有性を意識しないため。
279,鍬,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,"Not far from us in the cemetery, a man was leveling off a piece of rough ground. He stopped and, resting on his hoe, he watched us.",,hoe,Literal translation,原文「鍬」を、辞書的な意味が一致する「hoe」と直訳し、形式・機能・意味が一致しているため。,True,Minimization,「鍬」が英語圏で一般的な農具である「hoe」に置き換えられており、読者はその道具が自文化の既知の概念と同一であると認識するため、日本独自の固有性や文化的差異を意識することなく、普遍的な道具として処理する可能性が高いため。
310,小春,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,"One evening, however, towards the end of the Indian summer, it was unexpectedly brought back to my mind.",,Indian summer,Established equivalent,原文の文化的要素である「小春」を、英語圏で慣用的に使われる等価語である「Indian Summer」で表現しているため。,True,Minimization,「小春」が持つ日本の特定の季節感や「春」という言葉との対比といった固有のニュアンスが失われ、英語圏で広く知られる類似の気象現象「Indian summer」に置き換えられているため、読者はその固有性を意識せず自文化の既知の概念として処理するため。
312,銀杏,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,"As I was talking to Sensei, I happened for some reason to think of the great gingko tree that he had pointed out to me.",,gingko tree,Literal translation,「銀杏」が英語圏で定着している植物名「gingko」という等価語で訳されており、辞書的な意味の通り形式・機能・意味が一致しているため。,True,Acceptance,「gingko tree」と音写に近い形で提示されており、読者は「gingko」が自文化にはない特定の種類の木であると認識し、その差異を受け入れる状態にあるが、詳細な補足説明はないため。
317,銀杏,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,"""Sensei, I wonder if the gingko tree at Zoshigaya has lost all its leaves by now?""",,gingko tree,Literal translation,原文「銀杏」を、英語圏で「イチョウの木」を指す定着した訳語「gingko tree」で対応させているため。,True,Minimization,「銀杏」が日本文化において持つ象徴性や固有の文脈が、英語圏にも存在する一般的な植物名「gingko tree」に置き換えられており、読者（Aさん）は日本の「銀杏」の固有性や文化的差異を意識せず、自国の既知の植物と同じものとして処理してしまうため。
318,空坊主,「まだ空坊主にはならないでしょう」,"""I doubt that it will be quite bare yet.""",,quite bare,Modulation,[比喩 → 意味]「坊主（比喩）」から「裸/何もない（意味/状態）」へ。比喩表現をその意味内容（Sense）に変換するのは、認識のカテゴリーを変えるModulation（変調）であるため。,True,Minimization,「空坊主」という日本語が持つかもしれない「坊主頭」「雲一つない空」「無一文」などの具体的なイメージや文化的・比喩的な含意が、普遍的な「quite bare（完全に空っぽ）」という表現に置き換えられており、読者はその固有性を意識せず自文化の既知の概念と同一のものとして処理するため。
320,お墓参り,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,"""May I accompany you, when you next visit the grave?",,visit the grave,Literal translation,原文「お墓参り」を「visit the grave」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,True,Minimization,「お墓参り」を「visit the grave」と訳すことで、読者は自文化にも存在する「墓参り」の行為と同一視し、日本の「お墓参り」が持つ特定の慣習や背景といった固有性を意識しないまま、普遍的な行為として処理してしまうため。
331,雑司ヶ谷,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。二つの表情は全く同じだったのである。,And I was suddenly reminded of the way he looked that day at Zoshigaya when I called to him.,,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、英訳・注釈のいずれにも補足説明を加えていないため。,True,Acceptance,補足なく固有名詞を音写しており、読者はその場所が何であるか具体的には不明ながらも「自文化にはない固有の日本の地名」として差異を認識できるため。
351,座敷,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。," Sometimes, I would find at his house students who were from the same part of the country as Sensei, but it seemed to me that none of them were as close to him as I was.",,at his house,Reduction,原文「座敷」という特定の和室の空間が、訳文では「at his house」というより一般的な場所を示す表現に変わり、座敷の持つ文化的情報が省略されているため。,True,Minimization,「座敷」が持つ日本の伝統家屋における特定の部屋（畳敷きの客間など）という固有の概念が、「at his house」という一般的な「家」という場所の概念に置き換えられており、読者はその文化的要素の固有性を認識せず、自文化にも存在する普遍的な「家」の空間として処理してしまうため。
377,食卓,その内いつの間にか先生の食卓で飯を食うようになった。,"And before long, I found myself dining at his house occasionally.",,his house,Reduction,原文の「食卓」という具体的な場所や家具の情報が、訳文の「house」というより一般的な場所になり、食卓という文化的要素が省略されているため。,True,Minimization,「食卓」という食事をする特定のテーブルを指す具体的な場所が「his house」という一般的な「家」に置き換えられており、元の文化的要素が持つ固有性（日本の家庭における食事の風景や、食卓を囲む文化など）が読者には認識されず、自文化の普遍的な「家での食事」という概念に同化されてしまうため。
393,盃,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,"Frowning slightly, she raised to her lips the cup that I had half-filled for her.",,cup,Generalization,原文「盃」が日本酒を飲む特定の器を指すのに対し、訳文「cup」はより一般的な飲み物容器を指しており、抽象化されているため。,True,Minimization,原文の「盃」が持つ日本文化固有の酒器としての形状や用途の特性が失われ、読者にとって普遍的な飲み物容器である「cup」に完全に置き換えられているため、文化的要素の固有性（違い）が消え、自文化と同じものとして処理される。
412,天罰,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,"Sensei s wife was silent.""Why not?"" I asked.""Divine punishment,"" Sensei answered, and laughed rather loudly.",,Divine punishment,Literal translation,「天（Divine）」＋「罰（punishment）」は、辞書的な意味を逐語的に並べた表現であり、英語としても自然です。ターゲット言語に存在しない不自然な構造の導入（Calqueの定義）ではないため。,True,Minimization,「天罰」という日本の文化的・宗教的背景を持つ概念が、多くの文化圏に存在する普遍的な「Divine punishment（神の罰）」という概念に置き換えられており、読者は日本の「天罰」が持つ固有性を意識せず、自文化の既知の概念と同様のものとして処理するため。
424,箱根,私は箱根から貰った絵端書をまだ持っている。,I still have with me a postcard that they sent me from Hakone.,,Hakone,Borrowing,原文「箱根」を「Hakone」と音写し、英訳文および注釈に一切補足説明がないため。,True,Acceptance,「箱根」という固有名詞が音写に近い形でそのまま提示されており、読者にはその具体的な内容や機能は不明確ながらも、「日本固有の地名」として自文化との差異を認識させるため。
424,葉書,私は箱根から貰った絵端書をまだ持っている。,I still have with me a postcard that they sent me from Hakone.,,postcard,Literal translation,原文「葉書」を、英語圏で定着している等価語「a postcard」で対応させているため。,True,Minimization,「葉書」を一般的な「postcard」に置き換えており、読者はその固有性を意識せず自国のハガキと同じものとして処理するため。
425,日光,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,Nikko,Borrowing,原文「日光」を「Nikko」と音写し、英訳に補足説明がないため。,True,Acceptance,文化的要素である「Nikko」は音写でそのまま提示されており、安易な置き換えを避けているため、読者はその場所の具体的な意味や背景を理解できないものの、「自文化にはない固有の地名」として差異を認識できるため。
425,紅葉（もみじ）,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,maple leaf,Literal translation,原文「紅葉の葉」を、英語圏で慣用的に紅葉したカエデの葉を指す等価語「a maple leaf」で対応させているため。,True,Minimization,「紅葉」が日本文化において持つ特有の鑑賞文化や季節感、文学的・芸術的意味合いが「maple leaf（カエデの葉）」という普遍的な概念に置き換えられており、日本に関する知識が皆無の読者は、自文化のカエデの葉と同じものとして処理し、その固有性を認識できないため。
429,格子,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,"The living-room was immediately adjoining the front hall, and I could hear well enough to know that it was a quarrel, and that one of the voices, which was raised now and then, belonged to Sensei.",,なし,Reduction,原文「格子」に相当する情報が英訳で完全に省略されており、対応する語句がないため。,True,Denial,原文にあった「格子」という文化的要素が英訳では完全に削除されており、読者はその要素の存在自体を認知できないため。
437,袴,私は帰ったなりまだ袴を着けていた。,I had not bothered to take off my dress trousers when I returned.,,dress trousers,Generalization,原文「袴」を「dress trousers」と訳すことで、日本の伝統的な特定の衣服名が失われ、より一般的な「ズボン（のうち正装用のもの）」に抽象化（一般化）されているため。,True,Minimization,日本の伝統的な衣服である「袴」を、自文化の既知の概念である「dress trousers（正装用のズボン）」に置き換えており、読者はその固有の形状や文化的背景を認識せず、自国のフォーマルなズボンと同一視してしまうため。
438,表へ出た,私はそれなりすぐ表へ出た。,I left my room immediately.,,left my room,Modulation,[目的地 -> 出発点]「外へ行った（目的地）」を「部屋を離れた（出発点）」と言い換える操作は、視点の転換にあたるため。,True,Minimization,「表へ出た」が持つ「家の外へ出る」「外出する」という日本家屋における内外の意識や固有のニュアンスが、「left my room」という普遍的な行為に完全に置き換えられており、読者はその文化的固有性を意識せず自文化の既知の概念として処理するため。
