Location,Note,Highlight_JP,Highlight_EN,注釈
225,鎌倉,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,"A few days after my return, however, I began to feel less inclined to do so.",
238,下女,私はすぐ玄関先を去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,"I therefore hesitated in the front hall, staring at the maid who had informed me of her master's absence. ",
238,名刺,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいっ,"She seemed to remember that I had called before and left my card.Asking me to wait, she went away.",
241,雑司ヶ谷,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",
241,仏,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",
248,楓,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。,From the left side of a field I entered the cemetery and proceeded along a broad avenue bordered on each side by maple trees.,
249,茶店,するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,"There was a tea house at the end of the avenue, and I saw coming out of it someone that looked like Sensei.",
266,一切衆生悉有仏生,先生と私は通りへ出ようとして墓の間を抜けた。 依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",
266,塔婆,一切衆生悉有仏生と書いた塔婆などが建ててあった。,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",
269,墓標,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,"Sensei did not seem to find the way in which different customs were reflected in the tombstones amusing or ironical, as I did.",
274,銀杏,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,"Towards the end of the cemetery, there stood a gingko tree, so large that it almost hid the sky from view.",
276,黄葉,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,"The tree will be a mass of yellow, and the ground will be buried beneath a golden carpet of fallen leaves.",
279,鍬,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,"Not far from us in the cemetery, a man was leveling off a piece of rough ground. He stopped and, resting on his hoe, he watched us.",
310,小春,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,"One evening, however, towards the end of the Indian summer, it was unexpectedly brought back to my mind.",
312,銀杏,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,"As I was talking to Sensei, I happened for some reason to think of the great gingko tree that he had pointed out to me.",
317,銀杏,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,"""Sensei, I wonder if the gingko tree at Zoshigaya has lost all its leaves by now?""",
318,空坊主,「まだ空坊主にはならないでしょう」,"""I doubt that it will be quite bare yet.""",
320,お墓参り,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,"""May I accompany you, when you next visit the grave?",
331,雑司ヶ谷,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。二つの表情は全く同じだったのである。,And I was suddenly reminded of the way he looked that day at Zoshigaya when I called to him.,
351,座敷,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。," Sometimes, I would find at his house students who were from the same part of the country as Sensei, but it seemed to me that none of them were as close to him as I was.",
377,食卓,その内いつの間にか先生の食卓で飯を食うようになった。,"And before long, I found myself dining at his house occasionally.",
393,盃,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,"Frowning slightly, she raised to her lips the cup that I had half-filled for her.",
412,天罰,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,"Sensei s wife was silent.""Why not?"" I asked.""Divine punishment,"" Sensei answered, and laughed rather loudly.",
424,箱根,私は箱根から貰った絵端書をまだ持っている。,I still have with me a postcard that they sent me from Hakone.,
424,葉書,私は箱根から貰った絵端書をまだ持っている。,I still have with me a postcard that they sent me from Hakone.,
425,日光,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",
425,紅葉（もみじ）,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",
429,格子,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,"The living-room was immediately adjoining the front hall, and I could hear well enough to know that it was a quarrel, and that one of the voices, which was raised now and then, belonged to Sensei.",
437,袴,私は帰ったなりまだ袴を着けていた。,I had not bothered to take off my dress trousers when I returned.,
438,表へ出た,私はそれなりすぐ表へ出た。,I left my room immediately.,
443,魚の骨が喉に刺さった時のように,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,"It bothered me terribly, like a fish bone in my throat.",
462,心丈夫,そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,"Of course, my last remark would lead one to suppose that the husband is self-reliant.Which is laughable.",
489,横浜,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",
489,新橋,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",
494,座敷,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,"While waiting for Sensei, therefore, I talked to his wife.",
504,敬意,先生はまるで世間に名前を知られていない人であった。だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,"Sensei lived in complete obscurity. Apart from myself, there was no one who knew of Sensei's scholarship or his ideas.",
507,謙遜,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,"This remark struck me as being too modest, and I wondered whether it did not spring from a contempt of the outside world.",
531,東京,奥さんは東京の人であった。,She was a Tokyo woman.,
533,鳥取,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",
533,江戸,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",
535,新潟県人,ところが先生は全く方角違いの新潟県人であった。,"Sensei, on the other hand, was from the province of Niigata.",
553,花時分,或る時花時分に私は先生といっしょに上野へ行った。,"One day, during the flower-viewing season, Sensei and I went to Ueno.",
594,鶯溪,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,"Sensei and I walked slowly in the direction of Uguisudani, past the back of the museum.",
595,垣,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",
595,幽邃,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",
595,熊笹,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",
597,雑司ヶ谷,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,"""Do you know why I go every month to my friend's grave in Zoshigaya?""",
616,お気の毒,「私はお気の毒に思うのです」,"""I am simply sorry for you.""",
616,気の毒,「気の毒だが信用されないとおっしゃるんですか」,"""I deserve your sympathy but not your trust. Is that what you mean, Sensei?""",
617,椿の花,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,"Not long before, the garden had been full of camellias.But now, the flowers, which had brightened the scenery with their rich, red color, were all gone.",
618,座敷,先生は座敷からこの椿の花をよく眺める癖があった。,It had been Sensei's custom to look out from his room and gaze at them.,
618,椿の花,先生は座敷からこの椿の花をよく眺める癖があった。,It had been Sensei's custom to look out from his room and gaze at them.,
620,生垣,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,
620,金魚売り,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,
624,針仕事,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,"I knew that Sensei's wife was in the next room, busy at her sewing or some such work. And I knew also that she could hear what we were saying.",
632,襖,私はもう少し先まで同じ道を 辿って行きたかった。すると 襖 の陰で「あなた、あなた」という奥さんの声が二度聞こえた。,"I wanted to pursue the conversation, but we were interrupted by the voice of Sensei's wife, calling him from behind the door.",
676,秋,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。, It was at the time of the year when the days grow shorter and there is everywhere a feeling of restless activity. ,
676,肌寒い,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。, It was at the time of the year when the days grow shorter and there is everywhere a feeling of restless activity. ,
693,煙草を飲む,私は畏まったまま烟草を飲んでいた。,"sitting stiffly, I began to smoke.",
694,茶の間,奥さんが茶の間で何か下女に話している声が聞こえた。," I could hear Sensei's wife talking to the maid in the morning room, which was along the same corridor as the study.",
694,下女,奥さんが茶の間で何か下女に話している声が聞こえた。," I could hear Sensei's wife talking to the maid in the morning room, which was along the same corridor as the study.",
700,鹿爪らしく,そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,"She seemed both surprised and amused when she saw me sitting there, stiff and serious like a strange guest.",
709,長火鉢,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"An iron kettle was singing on a handsome, long brazier in the morning room.",
709,鉄瓶,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"An iron kettle was singing on a handsome, long brazier in the morning room.",
724,空の盃,空の盃でよくああ飽きずに献酬ができると思いますわ,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.",
724,献酬,空の盃でよくああ飽きずに献酬ができると思いますわ,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.",
773,春の雲,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,"But the yearning in me was little more than a vague dream, hardly different from the yearning in one's heart when one sees a lovely cloud in the spring sky.",
792,下女部屋,下女部屋にいる下女はことりとも音をさせなかった。,Not a sound came from the maid's room.,
798,水注,奥さんは火鉢の灰を掻き馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle. The kettle stopped singing.,
798,鉄瓶,奥さんは火鉢の灰を掻き馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle. The kettle stopped singing.,
858,下女,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,"The maid, who was probably dozing in her room, failed to appear in the front hall to greet her master.",
871,西洋菓子,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせた。,"She then gave me the rest of the cakes, wrapped in a piece of paper, to take home.",
879,鳶色,すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,"I opened it and, choosing a cake covered with chocolate, I began to eat it.",
885,繻絆,私は先生の 宅 へ 出 はいりをするついでに、衣服の 洗い張りや 仕立て 方 などを奥さんに頼んだ。それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,"I began to take my clothes to Sensei's wife to be mended, and it was then too that I began to be more careful in my dress.",
914,五徳,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"Into this sunny room, Sensei had brought a large brazier. A metal basin, filled with water, had been placed on it so that the steam rising from it might ease Sensei's breathing.",
914,金盥,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"Into this sunny room, Sensei had brought a large brazier. A metal basin, filled with water, had been placed on it so that the steam rising from it might ease Sensei's breathing.",
926,茶箪笥,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,"She returned and, politely placing the money on a sheet of white paper, said, ""You must be worried.""",
936,胡座,それでも着いた時は、床の上に胡坐をかいて、,"When I returned, I found him sitting up in bed. ",
940,不承無性,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,"""Because you are here, your father has convinced himself that he is better,"" my mother said",
943,九州,私の兄はある職を帯びて遠い九州にいた。これは万一の事がある場合でなければ、容易に父母の顔を見る自由の利かない男であった。,"My elder brother worked in distant Kyushu, and therefore could not visit my parents, unless he felt that there was a pressing need for him to do so.",
957,正月,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",
957,上京,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",
963,東京,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,"""When you go back to Tokyo, why don't you take him some dried mushrooms?""",
963,椎茸,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,"""When you go back to Tokyo, why don't you take him some dried mushrooms?""",
978,将棋盤,私は退屈な父の相手としてよく将碁盤に向かった。,"To help my father forget his boredom, I often played chess with him. ",
979,炬燵,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"We were both by nature very lazy. We would sit on the floor with a footwarmer between us, and a large quilt covering the footwarmer and our bodies from the waist down.After every move, we would put our hands back under the quilt, determined not to sacrifice comfort for the sake of the game.",
979,櫓,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"We were both by nature very lazy. We would sit on the floor with a footwarmer between us, and a large quilt covering the footwarmer and our bodies from the waist down.After every move, we would put our hands back under the quilt, determined not to sacrifice comfort for the sake of the game.",
983,火箸,それを母が灰の中から見付け出して、火箸で挟み上げるという滑稽もあった。," It amused us all when once my mother found the lost pieces among the cinders in the footwarmer, and had to retrieve them with a pair of tongs.",
984,碁 ,「碁 だと盤が高過ぎる上に、足が着いているから、炬燵の上では打てないが、そこへ来ると将碁盤は 好いね、こうして楽に差せるから。無精者には持って来いだ。もう一番やろう」,"""One good thing about chess is that we can play it in this comfortable position,"" my father once said. ""It's an ideal game for lazy people like us. The trouble with go is that the board is too high--and it has legs too--and we couldn't very well put it between us on the foot warmer and play on it... How about another game of chess?""",go : kind of checkers.
991,金,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,"At times, in the middle of a game, I would find myself yawning heavily.",
991,香車,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,"At times, in the middle of a game, I would find myself yawning heavily.",
998,将棋,それでいて、この将碁を差したがる父は、単なる娯楽の相手としても私には物足りなかった。かつて遊興のために 往来 をした 覚えのない先生は、歓楽の交際から出る親しみ以上に、いつか私の頭に影響を与えていた。,"But while my chess-loving father failed even to entertain me, Sensei, whose acquaintance I had never sought for amusement's sake, gave me far greater intellectual satisfaction as a companion.",
1010,儒者,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。," As someone in days gone by might have put it, it was like introducing the smell of a Christian into the home of a Confucianist.",
1010,切支丹,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。," As someone in days gone by might have put it, it was like introducing the smell of a Christian into the home of a Confucianist.",
1021,松飾,東京へ帰ってみると、松飾はいつか取り払われていた。,"When I returned to Tokyo, I discovered that all the New Year decorations had already been taken down.",
1021,正月,町は寒い風の吹くに任せて、どこを見てもこれというほどの正月めいた景気はなかった。," I detected little of the New Year spirit as I walked about the cold, windy streets.",
1094,好事家,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"If I was not at my desk, I was in the gloomy library, hurriedly scanning the titles on the high shelves, as though I were some kind of curio-hunter.",
1094,骨董,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"If I was not at my desk, I was in the gloomy library, hurriedly scanning the titles on the high shelves, as though I were some kind of curio-hunter.",
1098,敷居を跨がなかった,私はついに四月の下旬が来て、やっと予定通りのものを書き上げるまで、先生の敷居を跨がなかった。,"I did not visit Sensei once before the latter part of April, by which time I had finally completed my thesis.",
1101,八重桜,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"I was free at last, when the double cherry blossoms had all fallen and in their place misty green leaves had begun to grow. It was the beginning of summer.",
1101,初夏,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"I was free at last, when the double cherry blossoms had all fallen and in their place misty green leaves had begun to grow. It was the beginning of summer.",
1104,枳殻,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"On my way to his house, I noticed the young buds on the twigs of the quince hedges bursting into leaf, and I saw too the shiny brown leaves of the pomegranate trees softly reflecting the sunlight. ",
1104,柘榴,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"On my way to his house, I noticed the young buds on the twigs of the quince hedges bursting into leaf, and I saw too the shiny brown leaves of the pomegranate trees softly reflecting the sunlight. ",
1134,躑躅,躑躅が燃えるように咲き乱れていた。,All about us azaleas flamed in all their splendor. ,
1135,霧島,先生はそのうちで樺色の丈の高いのを指して、「これは霧島でしょう」といった。,"Sensei pointed to an azalea which grew taller than the others and was reddish-yellow in color. ""That is what we call 'Kirishima,' I think,"" he said.","Kirishima : Literally, this means ""mist island."""
1137,芍薬,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,There were also peonies covering all area of about ten tsubo. It was too early in the summer for them to be in bloom. ,ten tsubo : Ten tsubo is about forty square yards.
1137,十坪,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,There were also peonies covering all area of about ten tsubo.  It was too early in the summer for them to be in bloom. ,ten tsubo : Ten tsubo is about forty square yards.
1210,杉苗,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",
1210,熊笹,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",
1210,三坪,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",
1219,蟇口,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He pulled out his purse and, finding a five-sen piece, gave it to the boy.",
1219,五銭,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He pulled out his purse and, finding a five-sen piece, gave it to the boy.",
1223,斥候長,「今斥候長になってるところなんだよ」,"""At the moment, I am chief of the army scouts,""",
1238,楓,眼の前にある樹は大概楓であったが、その枝に滴るように吹いた軽い緑の若葉が、段々暗くなって行くように思われた。,"And before us, the delicate, green maple leaves, which looked like drops of water just about to fall from the branches, seemed to grow darker in color.",
1240,縁日,私はそれを村の男が植木か何かを載せて縁日へでも出掛けるものと想像した。,I imagined that a man from the village had loaded his cart with plants or vegetables and was on his way to some fair to sell them.,
1304,不徳義漢,私の父の前には善人であったらしい彼らは、父の死ぬや否や許しがたい不徳義漢に変ったのです。,"When my father was alive, they behaved like decent people. But as soon as he died they turned into scoundrels.",
1352,行李,卒業式の日、私は黴臭くなった古い冬服を行李の中から出して着た。,"On the day of the graduation ceremony, I brought out my old and musty winter uniform from my suitcase and put it on.",
1354,厚羅紗,私は風の通らない厚羅紗の下に密封された自分の身体を持て余した。,My body felt as if it had been sealed in an airtight envelope of thick wool.,
1366,箸,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"As always when I dined at Sensei's, I found the bowls and chopsticks neatly laid out on white linen such as one sees in the European-style restaurants.",
1366,茶碗,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"As always when I dined at Sensei's, I found the bowls and chopsticks neatly laid out on white linen such as one sees in the European-style restaurants.",
1374,着物,奥さんは「でも着物などは、それほど気にしないようですよ」と答えた事があった。," ""Perhaps so,"" she said. ""But when it comes to clothes, he certainly is not overcareful.""",
1381,盃,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"""Congratulations,"" Sensei said, and raised his saké cup to me. The gesture did not make me particularly happy,",
1381,杯,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"""Congratulations,"" Sensei said, and raised his saké cup to me. The gesture did not make me particularly happy, ",
1405,アイスクリーム,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,"Sensei's wife, it seemed, had so little to do in the house that she could, if she wished, serve her guests homemade ice cream. ",
