Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無
425,日光,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,Nikko,Borrowing,原文「日光」を「Nikko」と音写し、英訳に補足説明がないため。,TRUE
425,紅葉（もみじ）,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,maple leaf,Literal translation,原文「紅葉の葉」を、英語圏で慣用的に紅葉したカエデの葉を指す等価語「a maple leaf」で対応させているため。,TRUE
429,格子,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,"The living-room was immediately adjoining the front hall, and I could hear well enough to know that it was a quarrel, and that one of the voices, which was raised now and then, belonged to Sensei.",,なし,Reduction,原文「格子」に相当する情報が英訳で完全に省略されており、対応する語句がないため。,TRUE
437,袴,私は帰ったなりまだ袴を着けていた。,I had not bothered to take off my dress trousers when I returned.,,dress trousers,Generalization,原文「袴」を「dress trousers」と訳すことで、日本の伝統的な特定の衣服名が失われ、より一般的な「ズボン（のうち正装用のもの）」に抽象化（一般化）されているため。,TRUE
438,表へ出た,私はそれなりすぐ表へ出た。,I left my room immediately.,,left my room,Modulation,[目的地 -> 出発点]「外へ行った（目的地）」を「部屋を離れた（出発点）」と言い換える操作は、視点の転換にあたるため。,TRUE
443,魚の骨が喉に刺さった時のように,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,"It bothered me terribly, like a fish bone in my throat.",,like a fish bone in my throat,Literal translation,「肴の骨」を「fish bone」、「咽喉に刺さった」を「in my throat」と、辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
462,心丈夫,そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,"Of course, my last remark would lead one to suppose that the husband is self-reliant.Which is laughable.",,self-reliant,Modulation,[状態(感情) -> 特性(性質)]「心丈夫」が他者からの影響による安心感を示すのに対し、「self-reliant」は夫自身の自立性という異なる視点（認知的カテゴリー）で表現しているため。,TRUE
489,横浜,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,Yokohama,Borrowing,原文「横浜」を「Yokohama」と音写（ローマ字化）し、英訳にも注釈にも一切補足説明がないため。,TRUE
489,新橋,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,Shimbashi,Borrowing,原文「新橋」が「Shimbashi」と音写（ローマ字化）され、訳文にも注釈にも補足説明がないため。,TRUE
494,座敷,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,"While waiting for Sensei, therefore, I talked to his wife.",,なし,Reduction,原文「座敷」という空間的・文化的要素が、英訳に全く対応する語句として現れておらず、完全に省略されているため。,TRUE
504,敬意,先生はまるで世間に名前を知られていない人であった。だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,"Sensei lived in complete obscurity. Apart from myself, there was no one who knew of Sensei's scholarship or his ideas.",,there was no one who knew of Sensei's scholarship or his ideas,Reduction,原文「敬意を払うもの」という情報に含まれる「敬意」の概念が、訳文では「知る者」という表現に置き換えられ、直接的に訳されていないため。,TRUE
507,謙遜,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,"This remark struck me as being too modest, and I wondered whether it did not spring from a contempt of the outside world.",,modest,Literal translation,原文「謙遜過ぎて」の「謙遜」部分が、訳文で「too modest」の「modest」と辞書的な意味の通りに直訳されており、形式・機能・意味が一致しているため。,TRUE
531,東京,奥さんは東京の人であった。,She was a Tokyo woman.,,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,TRUE
533,鳥取,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,Tottori,Borrowing,原文「鳥取」を「Tottori」と音写（ローマ字化）し、補足説明を加えていないため。,TRUE
533,江戸,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,"Yedo, when Tokyo was still known as Yedo",Amplification,"Amplification,原文「江戸」を「Yedo」と音写（借用）し、それに「when Tokyo was still known as Yedo」という補足説明（増幅）を加えているため。",TRUE
535,新潟県人,ところが先生は全く方角違いの新潟県人であった。,"Sensei, on the other hand, was from the province of Niigata.",,from the province of Niigata,Established equivalent,単に「新潟県（Niigata Prefecture）」を、文学的慣習に従って「the province of Niigata」と訳しただけ,TRUE
553,花時分,或る時花時分に私は先生といっしょに上野へ行った。,"One day, during the flower-viewing season, Sensei and I went to Ueno.",,flower-viewing season,Amplification,原文「花時分」を「flower-viewing season」と訳す際に、「viewing」という行為を明示的に加え、花時分が「花を観賞する時期」であることを説明的に増幅しているため。,TRUE
594,鶯溪,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,"Sensei and I walked slowly in the direction of Uguisudani, past the back of the museum.",,Uguisudani,Borrowing,原文「鶯渓」を「Uguisudani」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,TRUE
595,垣,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,fencing,Generalization,原文「垣」を、より一般的な囲いの構造物や材料を指す「fencing」に一般化しているため。,TRUE
595,幽邃,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,なし,Reduction,原文の「幽邃」に相当する美的・情緒的な情報が、訳文では完全に省略されているため。,TRUE
595,熊笹,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,dwarf bamboos,Literal translation,原文「熊笹」を「dwarf bamboos」辞書的に変換して対応しているため。,TRUE
597,雑司ヶ谷,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,"""Do you know why I go every month to my friend's grave in Zoshigaya?""",,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、補足説明を加えていないため。,TRUE
616,お気の毒,「私はお気の毒に思うのです」,"""I am simply sorry for you.""",,sorry for you,Established equivalent,原文「お気の毒」を、英語圏で同情を示す際に確立された慣用表現「sorry for you」で対応させているため。,TRUE
616,気の毒,「気の毒だが信用されないとおっしゃるんですか」,"""I deserve your sympathy but not your trust. Is that what you mean, Sensei?""",,I deserve your sympathy,Modulation,[感情(状況) -> 権利(主張)]原文「気の毒だが」という状況に対する感情表現を、「I deserve your sympathy」と話者自身の立場からの主張に視点を変更しているため。,TRUE
617,椿の花,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,"Not long before, the garden had been full of camellias.But now, the flowers, which had brightened the scenery with their rich, red color, were all gone.",,camellias,Literal translation,原文「椿の花」が、英語圏で広く認知されている植物名「camellias」という確立された等価語で訳されているため。,TRUE
618,座敷,先生は座敷からこの椿の花をよく眺める癖があった。,It had been Sensei's custom to look out from his room and gaze at them.,,his room,Generalization,原文「座敷」が指す特定の日本家屋の部屋を、より一般的・中立的な用語である「his room」に一般化しているため。,TRUE
618,椿の花,先生は座敷からこの椿の花をよく眺める癖があった。,It had been Sensei's custom to look out from his room and gaze at them.,,them,Generalization,代名詞化は、具体的な名称を避けて一般的な指示語にする処理なので、翻訳技法としては Generalization（一般化） に分類する,TRUE
620,生垣,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,hedge,Literal translation,原文「生垣」を「hedge」と辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。,TRUE
620,金魚売り,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,goldfish vendor,Literal translation,「Goldfish（金魚）」＋「Vendor（売り）」の直訳。,TRUE
624,針仕事,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,"I knew that Sensei's wife was in the next room, busy at her sewing or some such work. And I knew also that she could hear what we were saying.",,sewing,Established equivalent,原文「針仕事」を、英語圏で慣用的に「裁縫」の意味で用いられる等価語「sewing」で表現しているため。,TRUE
632,襖の陰で,私はもう少し先まで同じ道を 辿って行きたかった。すると 襖 の陰で「あなた、あなた」という奥さんの声が二度聞こえた。,"I wanted to pursue the conversation, but we were interrupted by the voice of Sensei's wife, calling him from behind the door.",,behind the door,Generalization,原文「襖」を、より一般的・中立的な用語である「door」に一般化（抽象化）しているため。,TRUE
676,秋,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,It was at the time of the year when the days grow shorter and there is everywhere a feeling of restless activity.,,the time of the year when the days grow shorter,Description,原文の「秋」という用語を使わず、日が短くなるという秋の機能的な説明に置き換えているため。,TRUE
676,肌寒い,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,It was at the time of the year when the days grow shorter and there is everywhere a feeling of restless activity.,,なし,Reduction,原文の「肌寒い」という季節の感覚を示す情報が、英訳には明確な形で表現されず完全に省略されているため。,TRUE
693,煙草を飲む,私は畏まったまま烟草を飲んでいた。,"sitting stiffly, I began to smoke.",,to smoke,Established equivalent,原文「煙草を飲む」を、英語圏でその行為を表す際に一般的に用いられる定着した表現「to smoke」で対応させているため。,TRUE
694,茶の間,奥さんが茶の間で何か下女に話している声が聞こえた。," I could hear Sensei's wife talking to the maid in the morning room, which was along the same corridor as the study.",,morning room,Adaptation,原文「茶の間」という日本の文化的要素を、ターゲット文化圏で類似の機能を持つ「morning room」という特定の部屋に置き換えているため。,TRUE
694,下女,奥さんが茶の間で何か下女に話している声が聞こえた。," I could hear Sensei's wife talking to the maid in the morning room, which was along the same corridor as the study.",,maid,Literal translation,原文「下女」を「maid」と訳しており、これは「下女」の辞書的な意味の通りに直訳され、形式・機能・意味が一致しているため。,TRUE
700,鹿爪らしく,そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,"She seemed both surprised and amused when she saw me sitting there, stiff and serious like a strange guest.",,stiff and serious,Description,原文の「鹿爪らしく」という状態を、そのあり方を説明する語句「stiff and serious」に置き換えているため。,TRUE
709,長火鉢,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"An iron kettle was singing on a handsome, long brazier in the morning room.",,long brazier,Literal translation,原文「長火鉢」を、その形態「long」と種類「brazier」で説明しているため。,TRUE
709,鉄瓶,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"An iron kettle was singing on a handsome, long brazier in the morning room.",,iron kettle,Literal translation,原文「鉄瓶」を「iron kettle」と、辞書や慣用表現として認められている等価語で対応させているため。,TRUE
