Location,Highlight_JP,Note,Highlight_EN,Similarity,注釈,translation_method,dmis_stage,備考
135,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,猿股,"Fresh from this introduction to foreign methods of bathing, I was surprised at this man's indifference to exposing his body.",0.5947585106,,翻案,適応,原文「猿股一つ」が訳文で「indifference to exposing his body」と翻案され、日本文化の具体を西洋文化の視点に適応させている。
139,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,手拭い,"The  Japanese wrapped his head in the towel as soon as  he caught it, and began to walk towards the sea.",0.8240408301,,等価,最小化,"「手拭」を""the towel""と訳し、日本文化固有のアイテムをTL読者に共通理解可能な「一般的なタオル」に置換。これにより、文化差を最小化した。"
143,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,遠浅,"They stepped into  the waves at once, and passing through the multitude  who were screaming near the shore, went further  out to a considerably less crowded part, and began  to swim.",0.8221871853,,調整,最小化,キーワード「遠浅」の具体的な情報が「near the shore」という一般的な表現に調整され、「浅さ」という差異を最小化し普遍的な「岸近く」という共通点に収束させた。
154,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,麦藁帽,"This time the sensei came alone, wearing a straw hat.",0.5644889474,,直訳,受容,"原文「麦藁帽」を""a straw hat""と直訳することで、文化的な差異を認めた上で、その概念をTLの自然な表現で保持しているため、受容段階を演じた。"
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,白絣,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",0.5525385141,2 A kind of cotten cloth.,調整,適応,原文「白絣」を「shirogasuri yukata」と訳し、素材名に衣服の種類を加えて概念の枠組みを調整。他文化視点に寄せ理解を促す適応段階を演じた。
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,兵児帯,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",0.5525385141,,借用,受容,"原文「兵児帯」を""hekoobi¹""と音写し、原語をそのまま持ち込む「借用」を選択。文化固有の差異を認識し、それをターゲット言語に保持することで「受容」を演じた。"
225,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,鎌倉,But two or three days in the city dimmed the glamour of Kamakura.,0.6208797097,,借用,受容,"原文「鎌倉」を""Kamakura""と保持し、固有名詞の文化差を認めて提示するため受容段階を演じて訳出した。"
238,私はすぐ～～去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,下女,"So I did not turn away at once, but stood looking at the maid's face, hesitating.",0.7617042661,,直訳,最小化,キーワード「下女」を「maid」と訳すことで、文化的な差異を最小化し、英語圏で理解しやすい同等の概念に収束させているため、直訳と最小化を意図的に選択した。
238,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいった。,名刺,"The maid, recognizing me as the visitor of the previous day, left me there and disappeared within the house.",0.6171696782,,翻案,適応,原文「名刺」を削除し、その機能を「recognizing me as the visitor of the previous day」と他文化の読者に自然な状況へ「翻案」することで、「適応」段階を演じた。
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,雑司ヶ谷,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,0.5485316515,,借用,受容,"「雑司ヶ谷」を""Zoshigaya""と音写し、原文の固有名詞を借用することで、その文化的な差異を認め、そのまま保持しているため。"
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,仏,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,0.5485316515,,調整,最小化,原文「仏」（故人、宗教的対象）を英訳「grave」（物理的な墓）とすることで、抽象的な概念を具体化し、英語圏の読者の共通点に収束させるため、調整と最小化を採用。
246,それですぐ踵を回らした。,踵を回らした,So I turned round at once.,0.7727604508,,等価,最小化,「踵を回した」という日本語の動作表現を、英語で同等の状況に自然な「turned round」で等価に置換。表現の文化差を最小化し、共通の動作意味に収束させた。
248,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。すると～～でてきた。,苗畑,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",0.6691185236,,直訳,最小化,「苗畠」を「field of young plants」と構成要素を直訳し、特定の文化的含意を深掘りせず、普遍的共通点に収束させることで文化差を最小化している。
249,私は墓地の手前~~進んで行った。するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,茶店,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",0.5782812834,,調整,最小化,原文「茶店」を、文化固有の「お茶を出す店」から、より普遍的な機能を表す「restingbooth」へ「調整」した。これは、文化的な差異を「休憩所」という共通点に収束させることで、異文化理解の壁を「最小化」した翻訳モードを演じている。
266,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,一切衆生悉有仏生,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",0.6032501459,,調整,適応,"「一切衆生悉有仏生」を""All living things possess the quality of Buddha""と訳し、「仏生」という仏教概念を「質」という普遍的な枠組みに調整。これにより、他文化の読者が理解しやすいよう適応している。"
266,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,塔婆,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",0.6032501459,,調整,適応,"原文「塔婆」を""a stupa""と訳し、日本の特定の木製墓標から仏教全般の塔というより広範な概念に調整することで、TL読者への理解を促すよう適応させた。"
269,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,墓標,"Unlike me, the sensei did not seem to see humour or irony in the way those who had been left behind expressed their grief on those stones.",0.5388599038,,調整,最小化,「墓標」を「those stones」と訳し、文化的な標識という概念を物理的な石に調整することで、文化的な差異を最小化した。
274,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,銀杏,"On the border of the walk stood a huge gingko-  tree, so tall that it seemed to be hiding the sky.",0.5639558434,,借用,最小化,"原文「銀杏」を""gingko""として借用しつつ、""tree""を付加してTL側が理解しやすい「樹木」という共通点に収束させ、文化差を最小化した。"
276,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,紅葉,"It becomes very pretty in a few weeks: The leaves turn entirely yellow, and the ground hereabout will be covered with the golden fallen leaves",0.7328303456,,転換,最小化,原文「黄葉」を「turn entirely yellow」と訳し、日本語独自の概念を普遍的な現象に変換することで文化差を最小化した。
279,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,鍬,"The man, who was digging the uneven ground  to make a new resting-place, stopped his work, and  stood looking at us.",0.7323420048,,調整,否認,原文「鍬」が英訳で具体的な道具として削除され「stopped his work」と一般化された。これは具体→抽象への調整であり、文化差を無視し差異を処理しない否認段階を演じた。
310,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,小春,It had happened in the  early hours of the evening.,0.6700415611,,調整,否認,原文「小春の尽きるに間もない或る晩」の文化的季節感を「early hours of the evening」という時間情報に調整することで、「小春」の文化要素を削除したため否認を意図的に演じた。
312,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,銀杏,"As I talked with the sensei, there came to my  mind the image of the huge gingko-tree to which he  had specially attracted my attention.",0.6689969301,,借用,受容,原文「銀杏」を「gingko-tree」と借用し、英語圏で認知された形で植物名を保持。文化差を認めながら情報を残す受容段階を意図的に演じた。
317,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,銀杏,"""Do you think the leaves have fallen from the gingko-tree in Zoshigaya yet?""",0.6479691267,,調整,統合,"原文「銀杏」が文脈上「イチョウの木」を指すことを理解し、英訳""gingko-tree""と「tree」を加えることで、両文化の視点を行き来し最適な意味伝達を図るため調整と統合を選択した。"
318,「まだ空坊主にはならないでしょう」,空坊主,"""Perhaps it is not entirely bare yet.""",0.6777845621,,調整,最小化,"原文の文化的比喩「空坊主」を、訳文""not entirely bare""で「何もない状態」という抽象概念に調整。文化固有の具体性を排除し、普遍的な共通点に収束させることで差異を最小化した。"
320,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,お墓参り,“ May I go with you when you visit the grave ?,0.8765090108,,等価,最小化,原文「お墓参り」を、TLの自然な表現「visit the grave」に等価変換し、文化特有の意味合いを一般的な行為「墓を訪れる」に最小化することで、異文化間の共通理解を促している。
331,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。,雑司ヶ谷,All of a sudden the strong memory of Zoshigaya as I called to the sensei came to me.,0.6306978464,,借用,受容,"原文「雑司ヶ谷」を""Zoshigaya""と音訳で保持し、固有名詞の文化差を認め読者にそのまま提示する「受容」段階を演じた。"
351,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。,座敷,"Once  in a while I fell in with some students of his own  province, but none of them seemed as friendly with  him as I was.",0.690453887,,調整,否認,原文「座敷で」が訳文で省略され、場所の具体性を失い行為の抽象化という「調整」を用い、文化語を削除し文化差を無視する「否認」段階を演じた。
377,私は～～行った。その内いつの間にか先生の食卓で飯を食うようになった。自然の結果～～なった。,食卓,"I continued to go to see him, and finally I was sometimes invited to take supper with him, which gave me more opportunities of conversing with his wife.",0.6684011221,,調整,適応,原文「食卓」が示す親密さを、訳文では「supper with him」という食事行為に「調整」し、英語話者が「受け入れ」を自然に理解できるよう「適応」させた。
393,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,盃,"Drawing her well-shaped eye-brows together,  she held to her lips the cup which I had half filled  with sake.",0.7199894786,酒 sake:A kind of wine made from rice.,直訳,最小化,"原文「盃」を""cup""と直訳し、日本文化固有の器としての差異を最小化することで、ターゲット読者にとって理解しやすい共通点に収束させている。"
412,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,天罰,"His wife was silent. But I asked him to explain what he meant. ""It's our nemesis,""he said, laughing aloud.",0.6376947761,,等価,最小化,"原文「天罰」を""nemesis""と等価置換し、天罰の持つ「宿命的な報復」という共通概念に収束させることで、文化差を最小化するモードを演じた。"
424,私は箱根から貰った絵端書をまだ持っている。,箱根,I still have the picture postcard which he sent to me from Hakone.,0.5416667461,,借用,受容,"原文「箱根」を""Hakone""と借用することで、日本の地名という文化差を認めて保持しており、受容段階を演じている。"
424,私は箱根から貰った絵端書をまだ持っている。,葉書,I still have the picture postcard which he sent to me from Hakone.,0.5416667461,,直訳,最小化,"原文「絵端書」を""picture postcard""と直訳することで、文化的差異を強調せず共通概念として扱った。これは葉書が両文化で普遍的なアイテムであり、差異を最小化するDMISモードを選択したと言える。"
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,日光,"When he went to Nikko, I got a letter from him which contained a maple leaf.",0.5482595563,,借用,受容,"原文の固有名詞「日光」をそのまま""Nikko""と訳出。文化的な地名をそのまま保持し、文化差を認めて読者に提示するため、受容を意図的に演じた。"
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,紅葉,"With trembling hands, I folded the letter and  put it into the envelope.",0.5482595563,,翻案,否認,原文「紅葉の葉」が英訳で完全に削除され、文化状況が手紙を封筒に入れる一般的な行為に置き換わったため、文化差を否認しつつ翻案したと判断した。
429,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,格子,"As the drawing-room in his house  was next to the entrance-hall, my ears could catch  the voices clearly enough to detect their sharpness, though I stood outside of the entrance-door.",0.729026258,,翻案,適応,原文「格子の前」を、文化固有の「格子」を訳出せず「outside of the entrance-door」と翻案。TL読者が違和感なく「外にいて声が聞こえる」状況を理解できるよう、他文化視点に“適応”させた。
437,私は帰ったなりまだ袴を着けていた。私は～～表へ出た。,袴,"I still wore my hakama, so I went out at once.",0.633903563,hakama:  A kind of kilt worn by students.,借用,受容,"原文「袴」を""hakama""で保持し、さらに注釈で説明を加えることで文化差を残しており、受容段階を演じて訳出した。"
438,私は帰ったなり～～着けていた。私はそれなりすぐ表へ出た。,表,"I still wore my hakama, so I went out at once.",0.7262793779,hakama:  A kind of kilt worn by students.,等価,最小化,"「表へ出た」を""went out""と訳し、日本語の「表」が持つ家屋の特定の方向性や空間概念を、英語のより一般的な「外」に等価的に置換し、文化差を最小化した。"
443,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,魚の骨が喉に刺さった時のように,It tortured me like a fish-bone stuck in my throat.,0.8347236514,,直訳,最小化,原文「肴の骨」を普遍的な「fish-bone」と直訳し、文化的な差異を、喉に骨が刺さる普遍的苦痛という共通点に最小化したため。
462,「そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,心丈夫,It hardly seems right for me to speak like this.,0.7180389166,,翻案,否認,キーワード「心丈夫」は原文で夫の様子を指すが、英訳では話し手の発言評価に置き換えられた。これは「心丈夫」が持つ文化状況と意味を放棄し、別の状況へ「翻案」したため、その差異を「否認」している。
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,横浜,The sensei had gone out to Shinbashi to see a friend  off who was going abroad by the steamer which was  to leave Yokohama that day.,0.6437929869,,借用,受容,"原文「横浜」を""Yokohama""と借用することで、日本の固有名詞としての文化的な差異をそのまま保持しており、「受容」段階を意図的に演じた。"
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,新橋,The sensei had gone out to Shinbashi to see a friend  off who was going abroad by the steamer which was  to leave Yokohama that day.,0.6437929869,,借用,受容,"原文「新橋」を""Shinbashi""と借用し、日本の特定の地名としての文化差をそのまま保持することで受容段階を演じている。"
494,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,座敷,So I had a talk with his wife while I waited in his drawing-room.,0.6589087248,,調整,最小化,原文「座敷」を「drawing-room」と訳し、日本の空間の具体性を英語圏の共通概念に調整することで、文化差を過度に強調せず機能的共通点に収束させ、DMIS最小化段階を演じた。
504,だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,敬意,"I, who had come into close contact with him, seemed to be the only one who had either knowledge of or respect for his learning or his ideas.",0.6611660719,,転換,適応,原文「敬意を払う」を英訳「respect for」と名詞句に転換。日本語の動詞中心表現を英語の自然な名詞中心表現に構造を適応させた。
507,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,謙遜,"To me that answer was too modest, until I realized that it showed his cold critical attitude toward the world.",0.6817296743,,転換,最小化,「謙遜」という名詞を「modest」という形容詞に品詞転換。日本文化特有の概念を、英語圏で理解しやすい共通概念で捉え直し、文化差を最小化した。
531,奥さんは東京の人であった。,東京,I heard from both the sensei and his wife that she was a native of Tokyo.,0.7470892072,,借用,受容,原文「東京」を「Tokyo」として固有名詞の音形を保持しており、日本の地名という文化的な差異を認め保持する受容段階を演じ、借用手法を採用した。
533,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,鳥取,"For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",0.5883220434,,借用,受容,"原文「鳥取」を""Tottori""と固有名詞としてそのまま保持し、文化差を認めた上で維持しているため。"
533,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,江戸,"For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",0.5883220434,,借用,適応,"原文「江戸」を""Edo""と借用し、「when Tokyo was still called Edo」と補足説明を加えることで、英語読者が歴史的背景を理解できるよう他文化視点に適応した。"
535,ところが先生は全く方角違いの新潟県人であった。,新潟県人,"But the sensei's home was Niigata, a province far away from either Tottori or Tokyo.",0.606446147,,翻案,適応,「新潟県人」が原文の文脈で示す「方角違い」のニュアンスを、英訳では「Niigata」に「far away...」と補足することで、日本の地理に不慣れな読者にも理解できるよう文化状況を翻案し、他文化視点へ適応させた。
553,或る時花時分に私は先生といっしょに上野へ行った。そうして～～カップルを見た。,花時分,"Once in spring-time I went with him to Ueno, and saw a charming couple walking close together under the cherry-blossoms.",0.6404955983,,等価,最小化,原文「花時分」を「spring-time」と訳し、日本の文化的季節表現を英語圏で自然な慣用表現に等価置換した。これは文化差を「春」という共通概念に収束させ、最小化を意図したためである。
563,君は今あの男と女を見て、 冷評 しましたね。あの 冷評 のうちには君が恋を求めながら相手を得られないという不快の声が 交っていましょ,冷評,"You spoke unsympathetically of that man and woman, didn't you? In those words of yours is mingled the voice of your unhappiness at not experiencing love when you are seeking for it. Don't you think so?",0.7844480276,,転換,適応,原文「冷評」を「You spoke unsympathetically of」と、複合名詞から動詞+副詞句に品詞・文法カテゴリを転換した。これは、日本語の概念を英訳先の自然な表現形式に適応させたものと解釈できる。
594,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,鶯溪,The sensei and I walked slowly along from the back of the Imperial Museum toward Uguisudani.,0.5654426217,,借用,受容,"原文「鶯渓」を""Uguisudani""と音写することで、日本の固有名詞として文化差を保持し、受容段階を演じて訳出した。"
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,垣,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",0.663793087,,調整,適応,原文「垣」という多様な概念を、英語圏で一般的な「the hedge」と具体的に調整し、読者が文化状況を理解しやすいよう適応させた。
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,幽邃,"The bamboo clumps covering a part of the garden  could be seen through the hedge, looking solitary  and mysterious.",0.663793087,,調整,統合,"原文「幽邃」を""solitary and mysterious""と「調整」し、両文化の概念を柔軟に操作してその美意識を伝達する「統合」段階を演じた。"
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,熊笹,"The bamboo clumps covering a part of the garden  could be seen through the hedge, looking solitary  and mysterious.",0.663793087,,調整,最小化,原文「熊笹」を、ターゲット文化で理解しやすい「The bamboo clumps」という一般的な表現に調整し、文化的な差異を最小化した。
597,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,雑司ヶ谷,"""Do you know the reason why I visit my friend's grave in Zoshigaya every month?""",0.7716242671,,借用,受容,"「雑司ヶ谷」を""Zoshigaya""と借用することで、日本固有の地名という文化的な差異を原文通り保持し、読み手にその差異を受容させる意図を示している。"
616,「私はお気の毒に思うのです」,お気の毒,"""I am sorry for you.""",0.8287933469,,等価,最小化,"キーワード「お気の毒」を""sorry for you""と、文化特有の表現をTL側の自然な慣用表現（等価）で置き換え、共通概念に収束させ（最小化）訳出した。"
616,「気の毒だが信用されないとおっしゃるんですか」,気の毒,"""Is it true that you cannot trust me, and perhaps hesitate to say so ?""",0.8147552013,,調整,適応,原文「気の毒だが」の話し手の感情表明を「perhaps hesitate to say so ?」と相手の状況推測へ「調整」し、他文化視点に「適応」させた。
617,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,椿の花,"The camellias, with their heavy strong red, had been in bloom when I was there before, but they were all gone now.",0.6152314544,,直訳,受容,"「椿の花」を""camellias""と直訳することで、文化的差異を認め、英語圏でも理解される同等な植物名でその意味を保持しようとしたため、受容段階を演じた。"
618,先生は座敷からこの椿の花をよく眺める癖があった。,座敷,The sensei had a habit of looking at them while he was talking in the drawing-room.,0.5680678487,,等価,最小化,原文「座敷」を、英語圏で最も機能が近い「drawing-room」に置き換え、文化差を最小化し、共通点に収束させ理解を促している。
618,先生は座敷からこの椿の花をよく眺める癖があった。,椿の花,The sensei had a habit of looking at them while he was talking in the drawing-room.,0.5680678487,,調整,否認,原文「この椿の花」を訳文「them」と代名詞化し、文化固有性を消去することで文化差を無視する否認段階を演じた。
620,その時生垣の向うで金魚売りらしい声がした。,生垣,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",0.5642588735,,直訳,最小化,"原文「生垣」を""hedge""と訳し、両文化に共通する庭園要素として、差異を最小化し一般的な表現を選択した。"
620,その時生垣の向うで金魚売りらしい声がした。,金魚売り,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",0.5642588735,,直訳,受容,"「金魚売り」を""a goldfish vendor""と直訳することで、日本の特定の文化要素をそのまま伝え、文化的な差異を認めて保持している。"
624,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,針仕事,"I knew that my words could  be plainly heard by his wife, sitting in the next room,  busy with needle-work or some other feminine task.",0.7641642094,,調整,適応,原文「針仕事」を「needle-work or some other feminine task」と訳し、女性の一般的なタスクというターゲット文化の視点で補足説明を加え、文化的な意味合いを伝えようと適応段階を演じた。
