Location,Highlight_JP,Note,Highlight_EN,注釈,Similarity
128,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,由比ヶ浜,"Two days previously I had gone to Yuigahama and, sitting on top of a small dune close to the rear entrance of a Western-style hotel, I had whiled away the time watching the Westerners bathe.",,0.6685390472
135,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,猿股,"After having observed such a scene, it was natural that I should think this Westerner, who stood so lightly clad in our midst, quite extraordinary.",,0.7458419204
139,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,手拭い,"The Japanese then tied the towel around his head, and immediately began to walk towards the sea.",,0.7842885852
143,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,遠浅,"They strode determinedly into the water and, making their way through the noisy crowd, finally reached a quieter and deeper part of the sea.",,0.7433509827
154,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,麦藁帽,"This time, he arrived without the Westerner, wearing a straw hat.",,0.7413632274
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,白絣,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",,0.5573189259
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,兵児帯,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",,0.5573189259
225,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,鎌倉,"A few days after my return, however, I began to feel less inclined to do so.",,0.703569293
238,私はすぐ玄関先を去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,下女,"I therefore hesitated in the front hall, staring at the maid who had informed me of her master's absence. ",,0.7055371404
238,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいっ,名刺,"She seemed to remember that I had called before and left my card.Asking me to wait, she went away.",,0.6878728867
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,雑司ヶ谷,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",,0.6985961199
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,仏,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",,0.6985961199
246,それですぐ踵を回らした。,踵を回らした,I turned around and started to walk in the direction of Zoshigaya.,,0.6738995314
248,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。,苗畑,From the left side of a field I entered the cemetery and proceeded along a broad avenue bordered on each side by maple trees.,,0.7512124777
249,するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,茶店,"There was a tea house at the end of the avenue, and I saw coming out of it someone that looked like Sensei.",,0.652521193
266,先生と私は通りへ出ようとして墓の間を抜けた。 依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,一切衆生悉有仏生,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",,0.6384433508
266,一切衆生悉有仏生と書いた塔婆などが建ててあった。,塔婆,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",,0.6384433508
269,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,墓標,"Sensei did not seem to find the way in which different customs were reflected in the tombstones amusing or ironical, as I did.",,0.5892685652
274,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,銀杏,"Towards the end of the cemetery, there stood a gingko tree, so large that it almost hid the sky from view.",,0.6771163344
276,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,黄葉,"The tree will be a mass of yellow, and the ground will be buried beneath a golden carpet of fallen leaves.",,
279,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,鍬,"Not far from us in the cemetery, a man was leveling off a piece of rough ground. He stopped and, resting on his hoe, he watched us.",,0.7465981841
310,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,小春,"One evening, however, towards the end of the Indian summer, it was unexpectedly brought back to my mind.",,0.6809227467
312,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,銀杏,"As I was talking to Sensei, I happened for some reason to think of the great gingko tree that he had pointed out to me.",,0.7098605633
317,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,銀杏,"""Sensei, I wonder if the gingko tree at Zoshigaya has lost all its leaves by now?""",,0.6319335699
318,「まだ空坊主にはならないでしょう」,空坊主,"""I doubt that it will be quite bare yet.""",,0.6329966187
320,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,お墓参り,"""May I accompany you, when you next visit the grave?",,0.8440013528
331,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。二つの表情は全く同じだったのである。,雑司ヶ谷,And I was suddenly reminded of the way he looked that day at Zoshigaya when I called to him.,,0.5839269757
351,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。,座敷," Sometimes, I would find at his house students who were from the same part of the country as Sensei, but it seemed to me that none of them were as close to him as I was.",,0.6336081028
377,その内いつの間にか先生の食卓で飯を食うようになった。,食卓,"And before long, I found myself dining at his house occasionally.",,0.5985208154
393,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,盃,"Frowning slightly, she raised to her lips the cup that I had half-filled for her.",,0.7238436341
412,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,天罰,"Sensei s wife was silent.""Why not?"" I asked.""Divine punishment,"" Sensei answered, and laughed rather loudly.",,0.5632330775
424,私は箱根から貰った絵端書をまだ持っている。,箱根,I still have with me a postcard that they sent me from Hakone.,,0.4919867814
424,私は箱根から貰った絵端書をまだ持っている。,葉書,I still have with me a postcard that they sent me from Hakone.,,0.4919867814
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,日光,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,0.638176918
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,紅葉,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,0.638176918
429,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,格子,"The living-room was immediately adjoining the front hall, and I could hear well enough to know that it was a quarrel, and that one of the voices, which was raised now and then, belonged to Sensei.",,0.6181673408
437,私は帰ったなりまだ袴を着けていた。,袴,I had not bothered to take off my dress trousers when I returned.,,0.593937695
438,私はそれなりすぐ表へ出た。,表,I left my room immediately.,,0.6733155847
443,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,魚の骨が喉に刺さった時のように,"It bothered me terribly, like a fish bone in my throat.",,0.8120408654
462,そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,心丈夫,"Of course, my last remark would lead one to suppose that the husband is self-reliant.Which is laughable.",,0.7541543245
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,横浜,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,0.5594967008
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,新橋,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,0.5594967008
504,先生はまるで世間に名前を知られていない人であった。だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,敬意,"Sensei lived in complete obscurity. Apart from myself, there was no one who knew of Sensei's scholarship or his ideas.",,0.6173689961
507,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,謙遜,"This remark struck me as being too modest, and I wondered whether it did not spring from a contempt of the outside world.",,0.7927848101
531,奥さんは東京の人であった。,東京,She was a Tokyo woman.,,0.8909062147
533,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,鳥取,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,0.5710033178
533,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,江戸,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,
535,ところが先生は全く方角違いの新潟県人であった。,新潟県人,"Sensei, on the other hand, was from the province of Niigata.",,0.5595793724
553,或る時花時分に私は先生といっしょに上野へ行った。,花時分,"One day, during the flower-viewing season, Sensei and I went to Ueno.",,0.5867973566
563,君は今あの男と女を見て、冷評しましたね。あの冷評のうちには君が恋を求めながら相手を得られないという不快の声が交っていましょ,冷評,"You made fun of that couple, didn't you? But actually, you sounded to me like a person who is dissatisfied because he has not yet been able to fall in love, though he wants to.",,0.7423382401
594,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,鶯溪,"Sensei and I walked slowly in the direction of Uguisudani, past the back of the museum.",,0.6642870903
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,垣,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,0.6915766001
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,幽邃,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,0.6915766001
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,熊笹,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,0.6915766001
597,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,雑司ヶ谷,"""Do you know why I go every month to my friend's grave in Zoshigaya?""",,0.8095358014
616,「私はお気の毒に思うのです」,お気の毒,"""I am simply sorry for you.""",,0.907351017
616,「気の毒だが信用されないとおっしゃるんですか」,気の毒,"""I deserve your sympathy but not your trust. Is that what you mean, Sensei?""",,0.7233362198
617,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,椿の花,"Not long before, the garden had been full of camellias.But now, the flowers, which had brightened the scenery with their rich, red color, were all gone.",,0.8072836399
618,先生は座敷からこの椿の花をよく眺める癖があった。,椿の花,It had been Sensei's custom to look out from his room and gaze at them.,,0.584132731
620,その時生垣の向うで金魚売りらしい声がした。,生垣,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,0.7555910945
620,その時生垣の向うで金魚売りらしい声がした。,金魚売り,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,0.7555910945
624,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,針仕事,"I knew that Sensei's wife was in the next room, busy at her sewing or some such work. And I knew also that she could hear what we were saying.",,0.7431032658
628,自分を呪うより外に仕方がないの,呪う,"There is nothing that I can do, except curse my own soul.",,0.7152035832
632,私はもう少し先まで同じ道を 辿って行きたかった。すると 襖 の陰で「あなた、あなた」という奥さんの声が二度聞こえた。,襖,"I wanted to pursue the conversation, but we were interrupted by the voice of Sensei's wife, calling him from behind the door.",,0.6474491358
676,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,秋,Autumn passed uneventfully.,,0.6968923807
676,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,肌寒い,Autumn passed uneventfully.,,0.6968923807
693,私は畏まったまま烟草を飲んでいた。,煙草を飲む,"sitting stiffly, I began to smoke.",,0.8795964718
694,奥さんが茶の間で何か下女に話している声が聞こえた。,茶の間,And I knew also that she could hear what we were saying.,,0.5919302106
694,奥さんが茶の間で何か下女に話している声が聞こえた。,下女,And I knew also that she could hear what we were saying.,,0.5919302106
700,そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,鹿爪らしく,"She seemed both surprised and amused when she saw me sitting there, stiff and serious like a strange guest.",,0.6456151009
709,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,長火鉢,"An iron kettle was singing on a handsome, long brazier in the morning room.",,0.6736854315
709,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,鉄瓶,"An iron kettle was singing on a handsome, long brazier in the morning room.",,0.6736854315
724,空の盃でよくああ飽きずに献酬ができると思いますわ」,空の盃,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.""",,0.5376104712
724,空の盃でよくああ飽きずに献酬ができると思いますわ」,献酬,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.""",,0.5376104712
773,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,春の雲,"But the yearning in me was little more than a vague dream, hardly different from the yearning in one's heart when one sees a lovely cloud in the spring sky.",,0.7555477023
792,下女部屋にいる下女はことりとも音をさせなかった。,下女部屋,Not a sound came from the maid's room.,,0.761879921
798,それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,水注,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle.,,0.6939359903
798,それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,鉄瓶,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle.,,0.6939359903
858,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,下女,"Asking me to wait, she went away.",,0.5640167594
871,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせ,西洋菓子,"She then gave me the rest of the cakes, wrapped in a piece of paper, to take home.",,0.7579931021
879,すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,鳶色,"I opened it and, choosing a cake covered with chocolate, I began to eat it.",,0.7580627203
885,それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,繻絆,"Do you know what it feels like to be tied down by long, black hair?""",,0.5344287157
914,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,五徳,"An iron kettle was singing on a handsome, long brazier in the morning room.",,0.5514284968
914,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,金盥,"An iron kettle was singing on a handsome, long brazier in the morning room.",,0.5514284968
926,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,茶箪笥,"She returned and, politely placing the money on a sheet of white paper, said, ""You must be worried.""",,0.7323191762
936,それでも着いた時は、床の上に胡坐をかい,胡座,Then I threw the diploma down on the desk and lay on the floor in the middle of the room.,,0.5965121388
940,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,不承無性,said my mother.,,0.6499739289
943,私の兄はある職を帯びて遠い九州にいた。,九州,"My elder brother worked in distant Kyushu, and therefore could not visit my parents, unless he felt that there was a pressing need for him to do so.",,0.7327355742
957,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,正月,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",,0.6709744334
957,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,上京,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",,0.6709744334
963,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,東京,"""When you go back to Tokyo, why don't you take him some dried mushrooms?""",,0.7715970874
978,私は退屈な父の相手としてよく将碁盤に向かった。,将棋盤,"At about the time that I began to feel restless at home, my father and mother also began to tire of me.",,0.6638517976
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,炬燵,Both were self-effacing men.,,0.4998475611
983,それを母が灰の中から見付け出して、火箸で挟み上げるという滑稽もあった。,火箸,"It amused us all when once my mother found the lost pieces among the cinders in the footwarmer, and had to retrieve them with a pair of tongs.",,0.6789516211
991,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,金,"My self-confidence, I remember, was rather shaken then.",,0.6401314139
991,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,香車,"My self-confidence, I remember, was rather shaken then.",,0.6401314139
998,それでいて、この将碁を差したがる父は、単なる娯楽の相手としても私には物足りなかった。,将棋,I was too full of youthful vigor to be contented with the role of playmate for my father.,,0.7384140491
1010,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,儒者,For was I not of my father's flesh?,,0.6566942334
1010,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,切支丹,For was I not of my father's flesh?,,0.6566942334
1021,東京へ帰ってみると、松飾はいつか取り払われていた。,松飾,* I returned to Tokyo at the end of the month.,,0.7515318394
1021,町は寒い風の吹くに任せて、どこを見てもこれというほどの正月めいた景気はなかった。,正月,"I detected little of the New Year spirit as I walked about the cold, windy streets.",,0.5283035636
1071,狼狽した気味の私は、,狼狽,I felt a little discontented.,,0.8661386967
1071,早速先生の所へ出掛けて、私の読まなければならない参考書を聞いた。,狼狽,"I went to the Maruzen Bookshop, and, prepared to spend half the day there if need be, I examined carefully all the books that dealt with my subject of study.",,0.6016052365
1094,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,好事家,"I thought about my diploma lying on the desk and, though it seemed to have some significance as a kind of symbol of the beginning of a new life, I could not help feeling that it was a meaningless scrap of paper too.",,0.4968471229
1094,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,骨董,"I thought about my diploma lying on the desk and, though it seemed to have some significance as a kind of symbol of the beginning of a new life, I could not help feeling that it was a meaningless scrap of paper too.",,0.4968471229
1098,私はついに四月の下旬が来て、やっと予定通りのものを書き上げるまで、先生の敷居を跨がなかった。,敷居,"* I was due to graduate in June that year and, according to the rules, my thesis had to be finished by the end of April.",,0.6546625495
1101,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,八重桜,"After a while, I heard that the cherry trees were beginning to flower.",,0.7291777134
1101,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,初夏,"After a while, I heard that the cherry trees were beginning to flower.",,0.7291776538
1104,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,枳殻,I looked at the dark outline of the leaves and thought of the fragrant flowers that would be out in the autumn.,,0.795355022
1104,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,柘榴,I looked at the dark outline of the leaves and thought of the fragrant flowers that would be out in the autumn.,,0.795355022
1134,躑躅が燃えるように咲き乱れていた。,躑躅,All about us azaleas flamed in all their splendor.,,0.6165550351
1135,先生はそのうちで樺色の丈の高いのを指して、「これは霧島でしょう」といった。,霧島,"[note 4]: Literally, this means ""mist island.""",,0.534355402
1137,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,芍薬,[note5] It was too early in the summer for them to be in bloom.,,0.5895851851
1144,細い杉苗の頂に投げ被せてあった先生の帽子が風に吹かれて落ちた。,杉苗,"Sensei's hat, which he had hung on top of a slender cedar sapling, was blown off by the breeze.",,0.647777617
1192,今から予想してかかるような言葉遣いをするのが気に触ったら許してくれたまえ。,言葉遣い,And I wanted to Say something at this point.,,0.6625019312
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,杉苗,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",,0.7136033177
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,熊笹,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",,0.7136033177
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,三坪,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",,0.7136033177
1219,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,蟇口,"He pulled out his purse and, finding a five-sen piece, gave it to the boy.",,0.6320929527
1219,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,五銭,"He pulled out his purse and, finding a five-sen piece, gave it to the boy.",,0.6320929527
1223,「今斥候長になってるところなんだよ」,斥候長,And I wanted to Say something at this point.,,0.6743401885
1238,眼の前にある樹は大概楓であったが、その枝に滴るように吹いた軽い緑の若葉が、段々暗くなって行くように思われた。,楓,"And before us, the delicate, green maple leaves, which looked like drops of water just about to fall from the branches, seemed to grow darker in color.",,0.79821527
1240,私はそれを村の男が植木か何かを載せて縁日へでも出掛けるものと想像した。,縁日,I imagined that a man from the village had loaded his cart with plants or vegetables and was on his way to some fair to sell them.,,0.6993439198
1304,私の父の前には善人であったらしい彼らは、父の死ぬや否や許しがたい不徳義漢に変ったのです。,不徳義漢,"When my father was alive, they behaved like decent people.",,0.7378100157
1374,奥さんは「でも着物などは、それほど気にしないようですよ」と答えた事があった。,着物,"""But when it comes to clothes, he certainly is not overcareful.""",,0.6128813624
1381,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,盃,"""Congratulations,"" Sensei said, and raised his saké cup to me.",,0.658908546
1381,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,杯,"""Congratulations,"" Sensei said, and raised his saké cup to me.",,0.658908546
1405,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,アイスクリーム,"After the maid had cleared the table, Sensei's wife served fruit and ice cream.",,0.7410914898
1405,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,水菓子,"After the maid had cleared the table, Sensei's wife served fruit and ice cream.",,0.7410914898
1488,先生は手に持った団扇をわざとばたばたいわせた。,団扇,"""You became a little excited, didn't you, Sensei, when we were resting in the tree nursery?",,0.487583667
1493,「古本屋に売るさ」,古本屋,"""You can sell them to some secondhand bookshop.""",,0.7622426748
1500,縁喜でもない。,縁起,"""Oh, no, I don't think for a moment that I am disliked.",,0.6533670425
1505,玄関と門の間にあるこんもりした木犀の一株が、私の行手を塞ぐように、夜陰のうちに枝を張っていた。,木犀,"It spread its branches into the night, as if to block my way.",,0.7635896802
1523,私は電車の中で汗を拭きながら、他の時間と手数に気の毒という観念をまるでもっていない田舎者を憎らしく思った。,田舎者,"And as I sat in the tram, wiping the perspiration from my face, I began to hate country people who were always ready to bother others busier than themselves with annoying requests.",,0.7266969085
