Location,Highlight_JP,Note,Highlight_EN,Similarity,注釈,文化的要素の英訳句/語,ヴィネイとダルベルネの翻訳7分類,ベネットの異文化感受性モデル,備考
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,兵児帯,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",0.5525385141,,hekoobi¹,Amplification,適応,「兵児帯」を「hekoobi」と借用し、注釈で「a soft sash worn with a yukata」と機能説明を加える（増幅）ことで、読者が文化要素を機能的に理解できるよう適応させている。
225,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,鎌倉,But two or three days in the city dimmed the glamour of Kamakura.,0.6208797097,,Kamakura,Borrowing,受容,原文「鎌倉」を「Kamakura」と借用し、日本の歴史的都市という文化的固有性をそのまま提示することで、読者にその存在の受容を求めている。
238,私はすぐ～～去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,下女,"So I did not turn away at once, but stood looking at the maid's face, hesitating.",0.7617042661,,the maid,Established equivalent,最小化,「下女」を「the maid」という定着した等価表現で訳し、原文が持つ社会階級のニュアンスを薄め、文化的な差異を普遍的な概念に収束（最小化）させている。
238,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいった。,名刺,"The maid, recognizing me as the visitor of the previous day, left me there and disappeared within the house.",0.6171696782,,なし,Reduction,否認,原文の「名刺」という文化的要素が訳文から完全に削除され、その機能が「recognizing me as the visitor of the previous day」というより一般的な表現で示されており、文化差の存在を否認している。
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,雑司ヶ谷,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,0.5485316515,,Zoshigaya,Borrowing,受容,原文「雑司ヶ谷」を「Zoshigaya」と借用し、日本固有の地名の文化的差異をそのまま提示し、読者にその受容を求めている。
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,仏,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,0.5485316515,,grave,Adaptation,適応,原文「仏」を「grave」と置き換え、日本文化における故人への供養対象を、ターゲット読者が機能的に理解できる「墓」に文化的に適応させている。
246,それですぐ踵を回らした。,踵を回らした,So I turned round at once.,0.7727604508,,turned round,Generalization,最小化,「踵を回らした」という日本語の具体的な動作表現を「turned round」という一般的な「向きを変える」動作に一般化し、文化差を普遍的な共通概念に収束（最小化）させている。
248,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。すると～～でてきた。,苗畑,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",0.6691185236,,field of young plants,Description,適応,原文「苗畠」を「field of young plants」と形態・機能を記述することで、ターゲット読者が情景を機能的に理解できるよう適応させている。
249,私は墓地の手前~~進んで行った。するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,茶店,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",0.5782812834,,restingbooth,Description,適応,原文「茶店」を「restingbooth」と機能と形態を記述することで、ターゲット読者が日本の「茶店」が休憩所として機能する役割を違和感なく理解できるよう適応させている。
266,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,一切衆生悉有仏生,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",0.6032501459,,"""All living things possess the quality of Buddha""",Description,受容,原文「一切衆生悉有仏生」を「All living things possess the quality of Buddha」と概念を記述的に説明することで、仏教思想の文化的差異を保持し、読者にその理解と受容を促している。
266,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,塔婆,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",0.6032501459,,a stupa,Established equivalent,最小化,「塔婆」を仏教文化圏で定着した「stupa」という等価語で訳すことで、日本の特定の形態の文化差を普遍的な仏教の概念に収束させ、読者に差異を意識させないよう最小化している。
269,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,墓標,"Unlike me, the sensei did not seem to see humour or irony in the way those who had been left behind expressed their grief on those stones.",0.5388599038,,those stones,Generalization,最小化,「墓標」を「stones」と一般化することで、その文化的固有性を薄め、悲しみを表す媒体としての石という普遍的な概念に収束（最小化）させている。
274,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,銀杏,"On the border of the walk stood a huge gingko-  tree, so tall that it seemed to be hiding the sky.",0.5639558434,,gingko,Established equivalent,受容,原文「銀杏」を英語圏で定着した名称「gingko」とすることで、日本固有の植物の存在をそのまま提示し、読者にその固有性の受容を促している。
276,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,紅葉,"It becomes very pretty in a few weeks: The leaves turn entirely yellow, and the ground hereabout will be covered with the golden fallen leaves",0.7328303456,,The leaves turn entirely yellow,and the ground hereabout will be covered with the golden fallen leaves,Description,"適応,原文の「黄葉」と「金色の落葉」が織りなす「紅葉」の情景を、具体的な記述で説明し、ターゲット読者がその美しさを機能的に理解できるよう適応させている。"
279,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,鍬,"The man, who was digging the uneven ground  to make a new resting-place, stopped his work, and  stood looking at us.",0.7323420048,,なし,Reduction,否認,原文の「鍬」という道具名が訳文から完全に削除されており、その文化的要素の存在を否認し痕跡を残していない。
310,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,小春,It had happened in the  early hours of the evening.,0.6700415611,,なし,Reduction,否認,原文「小春」が持つ晩秋から初冬の穏やかな季節感が訳文では完全に削除されており、文化差の存在を否認（無視）している。
312,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,銀杏,"As I talked with the sensei, there came to my  mind the image of the huge gingko-tree to which he  had specially attracted my attention.",0.6689969301,,the huge gingko-tree,Established equivalent,最小化,原文「銀杏の大樹」を「the huge gingko-tree」と訳出する際に、「銀杏」を「gingko」という定着した等価語で訳し、文化的な差異を最小化している。
317,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,銀杏,"""Do you think the leaves have fallen from the gingko-tree in Zoshigaya yet?""",0.6479691267,,gingko-tree,Amplification,適応,「銀杏」を「gingko」と借用しつつ「tree」という補足情報を加えることで（増幅）、ターゲット読者がそれが「木」であることを機能的に理解できるよう適応させている。
318,「まだ空坊主にはならないでしょう」,空坊主,"""Perhaps it is not entirely bare yet.""",0.6777845621,,entirely bare,Generalization,最小化,原文「空坊主」を「entirely bare」と訳し、特定の比喩表現を「完全に空っぽ」という一般的な状態に一般化することで、文化差を普遍的な概念に収束（最小化）させている。
320,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,お墓参り,“ May I go with you when you visit the grave ?,0.8765090108,,visit the grave,Generalization,最小化,原文の「お墓参り」を「visit the grave」と一般化することで、特定の文化的・儀礼的な意味合いを普遍的な「墓を訪れる」という行為に収束（最小化）させている。
331,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。,雑司ヶ谷,All of a sudden the strong memory of Zoshigaya as I called to the sensei came to me.,0.6306978464,,Zoshigaya,Borrowing,受容,原文「雑司ヶ谷」を「Zoshigaya」と借用し、日本の固有名詞としての文化的差異をそのまま提示することで、読者にその認識と受容を求めている。
351,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。,座敷,"Once  in a while I fell in with some students of his own  province, but none of them seemed as friendly with  him as I was.",0.690453887,,なし,Reduction,否認,原文の「座敷」に相当する空間情報が訳文で完全に削除されており、文化差の存在を否認している。
377,私は～～行った。その内いつの間にか先生の食卓で飯を食うようになった。自然の結果～～なった。,食卓,"I continued to go to see him, and finally I was sometimes invited to take supper with him, which gave me more opportunities of conversing with his wife.",0.6684011221,,supper with him,Modulation,統合,原文「食卓で飯を食う」の「食卓」が持つ親密さや関係性の深化という概念を「supper with him」という行為への視点変更（Modulation）を通じて、両文化で理解できる象徴的意味（統合）に再構築している。
393,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,盃,"Drawing her well-shaped eye-brows together,  she held to her lips the cup which I had half filled  with sake.",0.7199894786,酒 sake:A kind of wine made from rice.,the cup,Generalization,最小化,原文「盃」を「the cup」と一般化することで、日本特有の酒器という文化的な差異を、普遍的な「飲み物を入れる器」という概念に収束（最小化）させている。
412,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,天罰,"His wife was silent. But I asked him to explain what he meant. ""It's our nemesis,""he said, laughing aloud.",0.6376947761,,nemesis,Modulation,統合,原文「天罰」を「nemesis」と訳すことで、神仏の罰という特定の文化的背景を避け、「避けられない宿命的な報い」という普遍的かつ象徴的な概念をModulation（変調）で再構築し、両文化の概念を融合する「統合」段階で読者に深い理解を促している。
424,私は箱根から貰った絵端書をまだ持っている。,箱根,I still have the picture postcard which he sent to me from Hakone.,0.5416667461,,Hakone,Borrowing,受容,原文「箱根」を「Hakone」と借用し、日本の固有名詞としての文化的固有性をそのまま提示することで、読者にその存在の受容を促している。
424,私は箱根から貰った絵端書をまだ持っている。,葉書,I still have the picture postcard which he sent to me from Hakone.,0.5416667461,,picture postcard,Established equivalent,最小化,原文の「絵端書」を「picture postcard」という定着した等価語で訳し、両文化に共通する普遍的な概念に収束させることで、文化的な差異を最小化している。
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,日光,"When he went to Nikko, I got a letter from him which contained a maple leaf.",0.5482595563,,Nikko,Borrowing,受容,原文「日光」を「Nikko」と借用し、日本の固有地名であることをそのまま提示することで、読者にその文化的な差異の受容を促している。
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,紅葉,"With trembling hands, I folded the letter and  put it into the envelope.",0.5482595563,,なし,Reduction,否認,原文の「紅葉」という文化的要素が訳文で完全に削除されており、翻訳者が文化差の存在を否認している。
429,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,格子,"As the drawing-room in his house  was next to the entrance-hall, my ears could catch  the voices clearly enough to detect their sharpness, though I stood outside of the entrance-door.",0.729026258,,なし,Reduction,否認,原文「格子」に対応する語句が訳文から完全に削除されており、日本家屋特有の文化的要素が消失しているため、文化差の存在を否認している。
437,私は帰ったなりまだ袴を着けていた。私は～～表へ出た。,袴,"I still wore my hakama, so I went out at once.",0.633903563,hakama:  A kind of kilt worn by students.,hakama,Amplification,適応,「袴」を「hakama」と借用し、注釈（増幅）で「kilt worn by students」と機能的に説明を加えることで、読者が日本文化の衣類の機能的役割を理解できるよう適応させている。
438,私は帰ったなり～～着けていた。私はそれなりすぐ表へ出た。,表,"I still wore my hakama, so I went out at once.",0.7262793779,hakama:  A kind of kilt worn by students.,なし,Reduction,否認,訳文では「表」という特定の場所を示す情報が完全に削除されており、文化的要素およびその機能が消失しているため、文化差の存在を否認している。
443,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,魚の骨が喉に刺さった時のように,It tortured me like a fish-bone stuck in my throat.,0.8347236514,,like a fish-bone stuck in my throat,Established equivalent,最小化,この比喩表現を定着した等価表現で訳すことで、両文化に共通する身体的苦痛の普遍性を強調し、文化差を最小化している。
462,「そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,心丈夫,It hardly seems right for me to speak like this.,0.7180389166,,なし,Reduction,否認,原文の「心丈夫」が表す夫の安心感という情報が、訳文では完全に削除されており、この文化要素の存在を否認（無視）している。
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,横浜,The sensei had gone out to Shinbashi to see a friend  off who was going abroad by the steamer which was  to leave Yokohama that day.,0.6437929869,,Yokohama,Borrowing,受容,原文「横浜」を「Yokohama」と借用し、日本の固有名詞としての文化的差異をそのまま提示することで、読者にその存在を受容するよう求めている。
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,新橋,The sensei had gone out to Shinbashi to see a friend  off who was going abroad by the steamer which was  to leave Yokohama that day.,0.6437929869,,Shinbashi,Borrowing,受容,原文「新橋」を「Shinbashi」と借用し、日本の固有の地名をそのまま提示することで、読者にその存在の受容を促している。
494,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,座敷,So I had a talk with his wife while I waited in his drawing-room.,0.6589087248,,drawing-room,Adaptation,適応,原文「座敷」を「drawing-room」と訳すことで、日本固有の空間の機能（応接間）をターゲット文化の機能的等価物に置き換え、読者が違和感なく理解できるよう適応させている。
504,だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,敬意,"I, who had come into close contact with him, seemed to be the only one who had either knowledge of or respect for his learning or his ideas.",0.6611660719,,respect,Established equivalent,最小化,原文「敬意」を「respect」という定着した等価表現で訳し、日本語特有の敬意表現を普遍的な概念に収束させ、文化差を最小化している。
507,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,謙遜,"To me that answer was too modest, until I realized that it showed his cold critical attitude toward the world.",0.6817296743,,modest,Established equivalent,最小化,「謙遜」を「modest」という定着した等価語で訳し、日本語特有の謙遜文化を普遍的な「控えめさ」に収束させ、文化差を最小化している。
531,奥さんは東京の人であった。,東京,I heard from both the sensei and his wife that she was a native of Tokyo.,0.7470892072,,Tokyo,Borrowing,受容,原文「東京」を「Tokyo」と借用し、日本の地名としての文化的固有性をそのまま提示することで、読者にその存在を受容するよう促している。
533,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,鳥取,"For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",0.5883220434,,Tottori,Borrowing,受容,原文「鳥取」を「Tottori」と借用し、日本の地名としての文化的固有性をそのまま維持することで、読者にその差異の認識と受容を求めている。
533,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,江戸,"For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",0.5883220434,,Edo when Tokyo was still called Edo,Amplification,適応,「江戸」を「Edo」と借用しつつ、「when Tokyo was still called Edo」と原文にない「Tokyo」情報で補足（増幅）することで、ターゲット読者が「江戸」の歴史的機能を理解できるよう適応させている。
535,ところが先生は全く方角違いの新潟県人であった。,新潟県人,"But the sensei's home was Niigata, a province far away from either Tottori or Tokyo.",0.606446147,,Niigata,a province,Amplification,"適応,「新潟県人」を「Niigata, a province」と地名と行政区分を増幅して説明し、読者が文化要素の機能を地理的情報として機能的に理解できるよう適応させている。"
553,或る時花時分に私は先生といっしょに上野へ行った。そうして～～カップルを見た。,花時分,"Once in spring-time I went with him to Ueno, and saw a charming couple walking close together under the cherry-blossoms.",0.6404955983,,in spring-time... under the cherry-blossoms,Particularization,統合,原文「花時分」が持つ日本の「桜の時期」という含意を「cherry-blossoms」と具体化し、さらにカップルの描写を組み合わせることで、花時分が持つ象徴的・ロマンチックな概念を読者に再構築して提示している。
563,君は今あの男と女を見て、 冷評 しましたね。あの 冷評 のうちには君が恋を求めながら相手を得られないという不快の声が 交っていましょ,冷評,"You spoke unsympathetically of that man and woman, didn't you? In those words of yours is mingled the voice of your unhappiness at not experiencing love when you are seeking for it. Don't you think so?",0.7844480276,,those words of yours,Generalization,最小化,原文「冷評」を「those words of yours」と一般化し、特定の「冷たい評価」という行為を、その媒体である「言葉」という普遍的な概念に収束させ、文化差を最小化している。
594,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,鶯溪,The sensei and I walked slowly along from the back of the Imperial Museum toward Uguisudani.,0.5654426217,,Uguisudani,Borrowing,受容,原文「鶯渓」を「Uguisudani」と借用することで、日本の固有名詞としての文化的差異をそのまま提示し、読者にその地名の受容を求めている。
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,垣,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",0.663793087,,the hedge,Established equivalent,最小化,原文「垣」を「the hedge」と訳し、日本固有の多様な「垣」の様式を、ターゲット文化に馴染む普遍的な「庭の囲い」として最小化している。
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,幽邃,"The bamboo clumps covering a part of the garden  could be seen through the hedge, looking solitary  and mysterious.",0.663793087,,solitary and mysterious,Modulation,統合,「幽邃」を「solitary and mysterious」と変調することで、奥深く静謐な日本独自の美的・象徴的な感覚を、英語圏の読者が理解しやすい複合的な概念として再構築し、文化を統合している。
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,熊笹,"The bamboo clumps covering a part of the garden  could be seen through the hedge, looking solitary  and mysterious.",0.663793087,,bamboo clumps,Generalization,最小化,原文「熊笹」を「bamboo clumps」と一般化することで、特定の笹の種類としての差異を薄め、普遍的な「竹の茂み」という共通概念に収束させている。
597,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,雑司ヶ谷,"""Do you know the reason why I visit my friend's grave in Zoshigaya every month?""",0.7716242671,,Zoshigaya,Borrowing,受容,原文「雑司ヶ谷」を「Zoshigaya」と借用し、日本の具体的な地名をそのまま提示することで、読者にその文化的な存在を意識させ、受容を促している。
616,「私はお気の毒に思うのです」,お気の毒,"""I am sorry for you.""",0.8287933469,,sorry for you,Established equivalent,最小化,「お気の毒」を「sorry for you」という定着した等価表現で訳し、日本語特有の感情表現を普遍的な同情に収束させ、文化差を最小化している。
616,「気の毒だが信用されないとおっしゃるんですか」,気の毒,"""Is it true that you cannot trust me, and perhaps hesitate to say so ?""",0.8147552013,,なし,Reduction,否認,原文「気の毒だが」に対応する表現が訳文から完全に削除され、文化差の存在を否認（無視）している。
617,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,椿の花,"The camellias, with their heavy strong red, had been in bloom when I was there before, but they were all gone now.",0.6152314544,,camellias,Established equivalent,最小化,原文「椿の花」を「camellias」という定着した等価語で訳し、日本語固有の植物を普遍的な植物概念に収束させ、文化的な差異を最小化している。
618,先生は座敷からこの椿の花をよく眺める癖があった。,座敷,The sensei had a habit of looking at them while he was talking in the drawing-room.,0.5680678487,,drawing-room,Adaptation,適応,原文「座敷」を「drawing-room」に置き換え、日本の伝統的空間の形態的差異をなくしつつ、機能的役割をターゲット読者が理解できるよう適応させている。
618,先生は座敷からこの椿の花をよく眺める癖があった。,椿の花,The sensei had a habit of looking at them while he was talking in the drawing-room.,0.5680678487,,them,Reduction,否認,原文「椿の花」という具体的な文化要素が代名詞「them」に削減されており、特定の文化情報が訳文から削除され、文化差を否認している。
620,その時生垣の向うで金魚売りらしい声がした。,生垣,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",0.5642588735,,the hedge,Established equivalent,最小化,「生垣」を「the hedge」という定着した等価語で訳し、日本固有の庭園要素としての特殊性を強調せず、普遍的な「垣根」という共通概念に収束（最小化）させている。
