Location,Highlight_JP,Note,Highlight_EN,Similarity,注釈,文化的要素の英訳句/語,ヴィネイとダルベルネの翻訳7分類,ベネットの異文化感受性モデル,備考
279,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,鍬,"The man, who was digging the uneven ground  to make a new resting-place, stopped his work, and  stood looking at us.",0.7323420048,,digging the uneven ground,調整,否認,原文の「鍬」という具体的道具の言及を避け、その機能である「地面を掘る」行為へ視点を調整した結果、文化要素が読者から完全に削除・省略されている。
310,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,小春,It had happened in the  early hours of the evening.,0.6700415611,,early hours of the evening,翻案,否認,原文の「小春」が英訳では「early hours of the evening」と翻案され、文化的要素が完全に削除・省略されたため、読者に文化差が提示されておらず、DMIS「否認」に該当する。
312,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,銀杏,"As I talked with the sensei, there came to my  mind the image of the huge gingko-tree to which he  had specially attracted my attention.",0.6689969301,,the huge gingko-tree,直訳,最小化,「銀杏」を英語圏で一般的な「gingko-tree」に直訳し、日本固有の文化性を強調せず普遍的な植物として提示している。
317,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,銀杏,"""Do you think the leaves have fallen from the gingko-tree in Zoshigaya yet?""",0.6479691267,,gingko-tree,直訳,最小化,原文「銀杏」を英語圏で一般的な「gingko-tree」に直訳し、日本固有性を強調せず普遍的な植物として提示している。
318,「まだ空坊主にはならないでしょう」,空坊主,"""Perhaps it is not entirely bare yet.""",0.6777845621,,not entirely bare yet,調整,最小化,「空坊主」の比喩的意味を「not entirely bare」という普遍的な物理的記述に調整し、文化的な固有性を強調せず共通概念に収束させている。
320,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,お墓参り,“ May I go with you when you visit the grave ?,0.8765090108,,visit the grave,転換,最小化,「お墓参り」を「visit the grave」と動詞句に転換し、日本固有のニュアンスを排して普遍的な「墓を訪れる」行為に一般化している。
331,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。,雑司ヶ谷,All of a sudden the strong memory of Zoshigaya as I called to the sensei came to me.,0.6306978464,,Zoshigaya,借用,受容,原文「雑司ヶ谷」を「Zoshigaya」と借用し、日本語固有の地名としての異質性をそのまま読者に提示している。
351,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。,座敷,"Once  in a while I fell in with some students of his own  province, but none of them seemed as friendly with  him as I was.",0.690453887,,なし,調整,否認,原文「座敷」は訳文で完全に削除され、文化要素やその機能が提示されていない（否認）。これは文脈上不要と判断し、視点を「調整」した結果である。
377,私は～～行った。その内いつの間にか先生の食卓で飯を食うようになった。自然の結果～～なった。,食卓,"I continued to go to see him, and finally I was sometimes invited to take supper with him, which gave me more opportunities of conversing with his wife.",0.6684011221,,take supper with him,調整,最小化,「食卓」という具体的な場所から「食事をする」という行為に視点を調整し、文化的な固有性を最小化している。
393,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,盃,"Drawing her well-shaped eye-brows together,  she held to her lips the cup which I had half filled  with sake.",0.7199894786,酒 sake:A kind of wine made from rice.,the cup,直訳,最小化,「盃」を英語圏で一般的な「the cup」に直訳し、「sake」と関連づけつつも、特定の文化要素としての固有性は一般化・抽象化（最小化）されている。
412,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,天罰,"His wife was silent. But I asked him to explain what he meant. ""It's our nemesis,""he said, laughing aloud.",0.6376947761,,our nemesis,等価,適応,原文「天罰」が持つ「避けられない報い」という機能・象徴的意味を、英語圏の読者に自然な「our nemesis」という表現で置き換え、ターゲット文化に適応させている。
424,私は箱根から貰った絵端書をまだ持っている。,箱根,I still have the picture postcard which he sent to me from Hakone.,0.5416667461,,Hakone,借用,受容,原文「箱根」を「Hakone」と借用し、その固有名詞が持つ日本固有の異質感（Foreignness）を読者にそのまま提示している。
424,私は箱根から貰った絵端書をまだ持っている。,葉書,I still have the picture postcard which he sent to me from Hakone.,0.5416667461,,picture postcard,直訳,最小化,原文「絵端書」を「picture postcard」と直訳することで、日本固有性を強調せず普遍的な「絵のある葉書」として提示し、文化差を最小化している。
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,日光,"When he went to Nikko, I got a letter from him which contained a maple leaf.",0.5482595563,,Nikko,借用,受容,原文「日光」を「Nikko」と借用し、日本の固有名詞としての異質感（Foreignness）をそのまま読者に提示している。
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,紅葉,"With trembling hands, I folded the letter and  put it into the envelope.",0.5482595563,,削除,翻案,否認,「紅葉」は英訳から完全に削除され、文化差を否認している。原文「紅葉の葉を一枚封じ込めた郵便」を「手紙を封筒に入れる」と翻案した結果、情報が失われた。
429,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,格子,"As the drawing-room in his house  was next to the entrance-hall, my ears could catch  the voices clearly enough to detect their sharpness, though I stood outside of the entrance-door.",0.729026258,,（訳出なし）,翻案,否認,原文「格子」は訳文から完全に削除・省略されており、その文化状況を「玄関ドアの外」と翻案することで、文化差が存在しないかのように扱われている。
437,私は帰ったなりまだ袴を着けていた。私は～～表へ出た。,袴,"I still wore my hakama, so I went out at once.",0.633903563,hakama:  A kind of kilt worn by students.,hakama,借用,統合,「袴」を「hakama」と借用し、さらに注釈で「A kind of kilt...」と補足説明を加えることで、文化差を維持しつつ読者の理解を促す（橋渡し）処理をしている。
438,私は帰ったなり～～着けていた。私はそれなりすぐ表へ出た。,表,"I still wore my hakama, so I went out at once.",0.7262793779,hakama:  A kind of kilt worn by students.,out,等価,最小化,原文「表」を「out」と、英語圏で一般的な表現に置き換えることで、日本固有の空間性を普遍的な「外」として提示し、文化差を最小化している。
443,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,魚の骨が喉に刺さった時のように,It tortured me like a fish-bone stuck in my throat.,0.8347236514,,like a fish-bone stuck in my throat,直訳,最小化,「魚の骨が喉に刺さる」という物理的状況を、英語圏でも一般的な表現で直訳し、日本固有の文化差を強調せず普遍的な事象として提示している。
462,「そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,心丈夫,It hardly seems right for me to speak like this.,0.7180389166,,なし,翻案,否認,原文「心丈夫」は英訳で完全に削除され、夫の状況描写から話し手の自己批判へと文脈が翻案された結果、その文化的要素は読者に提示されていない。
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,横浜,The sensei had gone out to Shinbashi to see a friend  off who was going abroad by the steamer which was  to leave Yokohama that day.,0.6437929869,,Yokohama,借用,受容,原文「横浜」を「Yokohama」と借用し、日本の固有名詞としての異質性をそのまま読者に提示している。
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,新橋,The sensei had gone out to Shinbashi to see a friend  off who was going abroad by the steamer which was  to leave Yokohama that day.,0.6437929869,,Shinbashi,借用,受容,原文の地名「新橋」を「Shinbashi」と借用することで、日本固有の場所名をそのまま読者に提示し、異質性を保持している。
494,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,座敷,So I had a talk with his wife while I waited in his drawing-room.,0.6589087248,,his drawing-room,翻案,適応,原文の「座敷」をターゲット文化で機能的に等価な「drawing-room」に置き換え、読者に文化差を意識させず適応させている。
504,だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,敬意,"I, who had come into close contact with him, seemed to be the only one who had either knowledge of or respect for his learning or his ideas.",0.6611660719,,respect,直訳,最小化,原文「敬意」を「respect」と直訳。英語圏に共通する一般的な概念として提示し、日本語固有のニュアンスを強調せず、文化差の違和感を消失させている。
507,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,謙遜,"To me that answer was too modest, until I realized that it showed his cold critical attitude toward the world.",0.6817296743,,modest,直訳,最小化,原文の「謙遜」を「modest」と直訳することで、日本文化に固有のニュアンスを強調せず、英語圏で一般的な概念として提示し、文化差を最小化している。
531,奥さんは東京の人であった。,東京,I heard from both the sensei and his wife that she was a native of Tokyo.,0.7470892072,,Tokyo,直訳,最小化,原文の「東京」を「Tokyo」と直訳。世界的に認知された地名であるため、英語圏の読者にとって文化的な異質感は消失し、一般的な情報として提示されている。
533,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,鳥取,"For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",0.5883220434,,Tottori,借用,受容,「鳥取」を「Tottori」と借用し、日本の地名という異質性をそのまま読者に提示している。
533,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,江戸,"For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",0.5883220434,,Edo,借用,統合,「Edo」と借用し、「when Tokyo was still called Edo」と補足説明を加え、日本の歴史的名称を読者に理解させる橋渡しをしている。
535,ところが先生は全く方角違いの新潟県人であった。,新潟県人,"But the sensei's home was Niigata, a province far away from either Tottori or Tokyo.",0.606446147,,"Niigata, a province far away from either Tottori or Tokyo.",翻案,統合,「新潟県人」を「Niigata」と「～県人」の部分を外し、「the senesi's home was Niigata」（先生の家が新潟だった）と、人の属性を場所の属性に変換している。読者が地理的関係性を理解できるよう能動的に文化差を橋渡ししている。
553,或る時花時分に私は先生といっしょに上野へ行った。そうして～～カップルを見た。,花時分,"Once in spring-time I went with him to Ueno, and saw a charming couple walking close together under the cherry-blossoms.",0.6404955983,,in spring-time,調整,最小化,「花時分」が持つ日本固有の風情を、英語圏で一般的な季節の表現「in spring-time」に調整し、文化的な固有性を最小化している。
563,君は今あの男と女を見て、 冷評 しましたね。あの 冷評 のうちには君が恋を求めながら相手を得られないという不快の声が 交っていましょ,冷評,"You spoke unsympathetically of that man and woman, didn't you? In those words of yours is mingled the voice of your unhappiness at not experiencing love when you are seeking for it. Don't you think so?",0.7844480276,,unsympathetically,転換,最小化,「冷評」を「unsympathetically」と副詞で表現し、日本固有性を強調せず普遍的な「思いやりのなさ」として提示することで、文化差を最小化している。
594,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,鶯溪,The sensei and I walked slowly along from the back of the Imperial Museum toward Uguisudani.,0.5654426217,,Uguisudani,借用,受容,原文の地名「鶯渓」を「Uguisudani」とローマ字で借用し、その日本固有の異質性をそのまま読者に提示している。
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,垣,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",0.663793087,,the hedge,直訳,最小化,原文「垣」を「the hedge」と直訳し、英語圏で一般的な境界として違和感なく提示することで、文化的な固有性を最小化している。
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,幽邃,"The bamboo clumps covering a part of the garden  could be seen through the hedge, looking solitary  and mysterious.",0.663793087,,solitary and mysterious,調整,最小化,原文「幽邃」を「solitary and mysterious」と、日本固有の美意識を一般的な形容詞で表現し、文化的固有性を普遍的概念へ最小化している。
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,熊笹,"The bamboo clumps covering a part of the garden  could be seen through the hedge, looking solitary  and mysterious.",0.663793087,,The bamboo clumps,直訳,最小化,「熊笹」という特定の日本の植物を英語圏で一般的な「bamboo clumps」と直訳し、日本固有性を普遍的な植物の描写に収束させ文化差を最小化している。
597,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,雑司ヶ谷,"""Do you know the reason why I visit my friend's grave in Zoshigaya every month?""",0.7716242671,,Zoshigaya,借用,受容,「雑司ヶ谷」を「Zoshigaya」と借用し、固有名詞としての異質性（日本らしさ）をそのまま読者に提示している。
616,「私はお気の毒に思うのです」,お気の毒,"""I am sorry for you.""",0.8287933469,,sorry for,等価,最小化,「お気の毒」を英語圏で自然な「sorry for」に置き換え、文化的な固有性を強調せず普遍的な感情として読者に提示している。
616,「気の毒だが信用されないとおっしゃるんですか」,気の毒,"""Is it true that you cannot trust me, and perhaps hesitate to say so ?""",0.8147552013,,and perhaps hesitate to say so ?,等価,最小化,「気の毒だが」の相手への配慮を「ためらい」という普遍的心理描写に置換。文化的異質感を最小化し、両文化に共通する上位概念に収束させている。
617,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,椿の花,"The camellias, with their heavy strong red, had been in bloom when I was there before, but they were all gone now.",0.6152314544,,camellias,直訳,最小化,「椿の花」を「camellias」と直訳し、英語圏でも一般的な植物として提示することで、日本固有の文化性を最小化している。
618,先生は座敷からこの椿の花をよく眺める癖があった。,座敷,The sensei had a habit of looking at them while he was talking in the drawing-room.,0.5680678487,,in the drawing-room,翻案,適応,「座敷」を西洋文化に馴染む「drawing-room」に置き換え、ターゲット読者が状況を理解しやすいよう文化状況を翻案（適応）している。
618,先生は座敷からこの椿の花をよく眺める癖があった。,椿の花,The sensei had a habit of looking at them while he was talking in the drawing-room.,0.5680678487,,them,調整,否認,原文の「椿の花」を抽象的な代名詞「them」に調整し、「椿」という具体的な文化要素を訳文から完全に削除・省略している。
620,その時生垣の向うで金魚売りらしい声がした。,生垣,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",0.5642588735,,the hedge,直訳,最小化,原文の「生垣」を「the hedge」と直訳することで、日本固有の景観としての意味合いを強調せず、一般的な植物の垣根として普遍化している。
620,その時生垣の向うで金魚売りらしい声がした。,金魚売り,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",0.5642588735,,goldfish vendor's,直訳,最小化,原文「金魚売り」を「goldfish vendor's」と直訳することで、日本固有の風物詩としてのニュアンスを強調せず、一般的な「金魚を売る人」という普遍的な概念に収束させている。
624,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,針仕事,"I knew that my words could  be plainly heard by his wife, sitting in the next room,  busy with needle-work or some other feminine task.",0.7641642094,,needle-work,直訳,最小化,「針仕事」を「needle-work」と直訳することで、両文化に共通する一般的な手芸活動として提示し、日本固有の文化差を最小化している。
628,自分を呪うより外に仕方がないの,呪う,"The only thing that such a man can do, is to curse himself.",0.629938066,,curse himself,直訳,最小化,「呪う」を「curse himself」と直訳することで、日本固有の行為ではなく、英語圏にも存在する一般的な行為として提示し、文化的な違和感を最小化している。
