Location,Highlight_JP,Note,Highlight_EN,Similarity,注釈
135,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,猿股,"Fresh from this introduction to foreign methods of bathing, I was surprised at this man's indifference to exposing his body.",0.5947585106,
139,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,手拭い,"The  Japanese wrapped his head in the towel as soon as  he caught it, and began to walk towards the sea.",0.8240408301,
143,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,遠浅,"They stepped into  the waves at once, and passing through the multitude  who were screaming near the shore, went further  out to a considerably less crowded part, and began  to swim.",0.8221871853,
154,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,麦藁帽,"This time the sensei came alone, wearing a straw hat.",0.5644889474,
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,白絣,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",0.5525385141,2 A kind of cotten cloth.
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,兵児帯,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",0.5525385141,
225,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,鎌倉,But two or three days in the city dimmed the glamour of Kamakura.,0.6208797097,
238,私はすぐ～～去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,下女,"So I did not turn away at once, but stood looking at the maid's face, hesitating.",0.7617042661,
238,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいった。,名刺,"The maid, recognizing me as the visitor of the previous day, left me there and disappeared within the house.",0.6171696782,
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,雑司ヶ谷,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,0.5485316515,
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,仏,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,0.5485316515,
246,それですぐ踵を回らした。,踵を回らした,So I turned round at once.,0.7727604508,
248,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。すると～～でてきた。,苗畑,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",0.6691185236,
249,私は墓地の手前~~進んで行った。するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,茶店,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",0.5782812834,
266,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,一切衆生悉有仏生,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",0.6032501459,
266,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,塔婆,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",0.6032501459,
269,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,墓標,"Unlike me, the sensei did not seem to see humour or irony in the way those who had been left behind expressed their grief on those stones.",0.5388599038,
274,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,銀杏,"On the border of the walk stood a huge gingko-  tree, so tall that it seemed to be hiding the sky.",0.5639558434,
276,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,紅葉,"It becomes very pretty in a few weeks: The leaves turn entirely yellow, and the ground hereabout will be covered with the golden fallen leaves",0.7328303456,
279,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,鍬,"The man, who was digging the uneven ground  to make a new resting-place, stopped his work, and  stood looking at us.",0.7323420048,
310,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,小春,It had happened in the  early hours of the evening.,0.6700415611,
312,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,銀杏,"As I talked with the sensei, there came to my  mind the image of the huge gingko-tree to which he  had specially attracted my attention.",0.6689969301,
317,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,銀杏,"""Do you think the leaves have fallen from the gingko-tree in Zoshigaya yet?""",0.6479691267,
318,「まだ空坊主にはならないでしょう」,空坊主,"""Perhaps it is not entirely bare yet.""",0.6777845621,
320,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,お墓参り,“ May I go with you when you visit the grave ?,0.8765090108,
331,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。,雑司ヶ谷,All of a sudden the strong memory of Zoshigaya as I called to the sensei came to me.,0.6306978464,
351,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。,座敷,"Once  in a while I fell in with some students of his own  province, but none of them seemed as friendly with  him as I was.",0.690453887,
377,私は～～行った。その内いつの間にか先生の食卓で飯を食うようになった。自然の結果～～なった。,食卓,"I continued to go to see him, and finally I was sometimes invited to take supper with him, which gave me more opportunities of conversing with his wife.",0.6684011221,
393,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,盃,"Drawing her well-shaped eye-brows together,  she held to her lips the cup which I had half filled  with sake.",0.7199894786,酒 sake:A kind of wine made from rice.
412,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,天罰,"His wife was silent. But I asked him to explain what he meant. ""It's our nemesis,""he said, laughing aloud.",0.6376947761,
424,私は箱根から貰った絵端書をまだ持っている。,箱根,I still have the picture postcard which he sent to me from Hakone.,0.5416667461,
424,私は箱根から貰った絵端書をまだ持っている。,葉書,I still have the picture postcard which he sent to me from Hakone.,0.5416667461,
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,日光,"When he went to Nikko, I got a letter from him which contained a maple leaf.",0.5482595563,
425,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,紅葉,"With trembling hands, I folded the letter and  put it into the envelope.",0.5482595563,
429,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,格子,"As the drawing-room in his house  was next to the entrance-hall, my ears could catch  the voices clearly enough to detect their sharpness, though I stood outside of the entrance-door.",0.729026258,
437,私は帰ったなりまだ袴を着けていた。私は～～表へ出た。,袴,"I still wore my hakama, so I went out at once.",0.633903563,hakama:  A kind of kilt worn by students.
438,私は帰ったなり～～着けていた。私はそれなりすぐ表へ出た。,表,"I still wore my hakama, so I went out at once.",0.7262793779,hakama:  A kind of kilt worn by students.
443,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,魚の骨が喉に刺さった時のように,It tortured me like a fish-bone stuck in my throat.,0.8347236514,
462,「そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,心丈夫,It hardly seems right for me to speak like this.,0.7180389166,
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,横浜,The sensei had gone out to Shinbashi to see a friend  off who was going abroad by the steamer which was  to leave Yokohama that day.,0.6437929869,
489,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,新橋,The sensei had gone out to Shinbashi to see a friend  off who was going abroad by the steamer which was  to leave Yokohama that day.,0.6437929869,
494,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,座敷,So I had a talk with his wife while I waited in his drawing-room.,0.6589087248,
504,だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,敬意,"I, who had come into close contact with him, seemed to be the only one who had either knowledge of or respect for his learning or his ideas.",0.6611660719,
507,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,謙遜,"To me that answer was too modest, until I realized that it showed his cold critical attitude toward the world.",0.6817296743,
531,奥さんは東京の人であった。,東京,"I heard from both the sensei and his wife that she was a native of Tokyo.",0.7470892072,
533,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,鳥取,"For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",0.5883220434,
533,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,江戸,"For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",0.5883220434,
535,ところが先生は全く方角違いの新潟県人であった。,新潟県人,"But the sensei's home was Niigata, a province far away from either Tottori or Tokyo.",0.606446147,
553,或る時花時分に私は先生といっしょに上野へ行った。そうして～～カップルを見た。,花時分,"Once in spring-time I went with him to Ueno, and saw a charming couple walking close together under the cherry-blossoms.",0.6404955983,
563,君は今あの男と女を見て、 冷評 しましたね。あの 冷評 のうちには君が恋を求めながら相手を得られないという不快の声が 交っていましょ,冷評,"You spoke unsympathetically of that man and woman, didn't you? In those words of yours is mingled the voice of your unhappiness at not experiencing love when you are seeking for it. Don't you think so?",0.7844480276,
594,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,鶯溪,The sensei and I walked slowly along from the back of the Imperial Museum toward Uguisudani.,0.5654426217,
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,垣,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",0.663793087,
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,幽邃,"The bamboo clumps covering a part of the garden  could be seen through the hedge, looking solitary  and mysterious.",0.663793087,
595,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,熊笹,"The bamboo clumps covering a part of the garden  could be seen through the hedge, looking solitary  and mysterious.",0.663793087,
597,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,雑司ヶ谷,"""Do you know the reason why I visit my friend's grave in Zoshigaya every month?""",0.7716242671,
616,「私はお気の毒に思うのです」,お気の毒,"""I am sorry for you.""",0.8287933469,
616,「気の毒だが信用されないとおっしゃるんですか」,気の毒,"""Is it true that you cannot trust me, and perhaps hesitate to say so ?""",0.8147552013,
617,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,椿の花,"The camellias, with their heavy strong red, had been in bloom when I was there before, but they were all gone now.",0.6152314544,
618,先生は座敷からこの椿の花をよく眺める癖があった。,座敷,The sensei had a habit of looking at them while he was talking in the drawing-room.,0.5680678487,
618,先生は座敷からこの椿の花をよく眺める癖があった。,椿の花,The sensei had a habit of looking at them while he was talking in the drawing-room.,0.5680678487,
620,その時生垣の向うで金魚売りらしい声がした。,生垣,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",0.5642588735,
620,その時生垣の向うで金魚売りらしい声がした。,金魚売り,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",0.5642588735,
624,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,針仕事,"I knew that my words could  be plainly heard by his wife, sitting in the next room,  busy with needle-work or some other feminine task.",0.7641642094,
628,自分を呪うより外に仕方がないの,呪う,"The only thing that such a man can do, is to curse himself.",0.629938066,
632,すると襖の陰で「あなた」という奥さんの声が二度聞こえた。,襖の陰で,But just then we heard his wife calling him twice behind the sliding-doors.,0.6474490166,
676,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,秋,"It was late autumn, and in these chilly days, no one could be indifferent to the atomosphere of bustle which attended the shortening day.",0.8380932808,
676,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,肌寒い,"It was late autumn, and in these chilly days, no one could be indifferent to the atomosphere of bustle which attended the shortening day.",0.8380932808,
693,私は畏まったまま烟草を飲んでいた。奥さん～～聞こえた。,煙草を飲む,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",0.7612641454,
694,私は畏ま～～飲んでいた。奥さんが茶の間で何か下女に話している声が聞こえた。,茶の間,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",0.6034648418,
694,私は畏ま～～飲んでいた。奥さんが茶の間で何か下女に話している声が聞こえた。,下女,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",0.6034648418,
700,「おや」といって～～私に向けた。そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,鹿爪らしく,"”Why,” she said, looking in, half surprised at me sitting formally like a guest. It seemed to appear ridiculous to her.",0.6826357841,
709,私は奥さん～～書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,長火鉢,"I followed her to the sitting-room, where an  iron tea-kettle was singing pleasantly on a beautifully  polished oblong brazier.",0.5557203889,
709,私は奥さん～～書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,鉄瓶,"I followed her to the sitting-room, where an  iron tea-kettle was singing pleasantly on a beautifully  polished oblong brazier.",0.5557203889,
724,空の盃でよくああ飽きずに献酬ができると思いますわ,空の盃,"I wonder why they don’t get tired offering and taking quite empty cups.",0.5077880621,
724,空の盃でよくああ飽きずに献酬ができると思いますわ,献酬,"I wonder why they don’t get tired offering and taking quite empty cups.",0.5077880621,
773,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,春の雲,"But it was like the feeling  which takes possession of us when we look upon  the lovely clouds of spring, a mere indefinite longing.",0.7555196881,
792,下女部屋にいる下女はことりとも音をさせなかった。私は～～忘れてしまった。,下女部屋,"No sound was heard from the maid in the servant's room, and the thought of the thief had disappeared entirely from my mind.",0.6976799965,
798,奥さんは～～掻き馴らせた。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,水注,"She levelled the ashes in the brazier, and poured  water into the iron kettle, which stopped singing at  once.",0.5969341993,
798,奥さんは～～掻き馴らせた。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,鉄瓶,"She levelled the ashes in the brazier, and poured  water into the iron kettle, which stopped singing at  once.",0.5969341993,
858,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,下女,"The maid did not appear, she must have been dozing in her room.",0.665410161,
871,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせ,西洋菓子,"So saying, she wrapped up the cakes which I had left, and handed them to me.",0.7242237329,
879,私はその翌日午飯を食いに学校から帰ってきて、昨夜机の上に載せて置いた菓子の包みを見ると、すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,鳶色,"At noon on the next day,  when I returned from school to take lunch, and  looked at the package of cakes on my desk, I at once  attacked one decorated with chocolate.",0.6535353661,
885,それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,繻絆,"It was after that  that I, who had never worn juban 1 before, began to  wear one with a black collar over my shirt.",0.7592012286,"juban:A kind of underwear for Japanese kimono."
914,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,五徳,"There was a huge brazier in this sun-lit room, and with the help of the steam  from the basin boiling on it, the sensei was trying to  ease his breathing.",0.6076392531,
914,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,金盥,"There was a huge brazier in this sun-lit room, and with the help of the steam  from the basin boiling on it, the sensei was trying to  ease his breathing.",0.6076392531,
926,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,茶箪笥,"When she took the bank-notes out of a some cabinet in the back-room, ”O I am very sorry. You must be anxious about your father.”",0.609552443,
936,それでも着いた時は、床の上に胡坐をかいて,胡座,"When I reached home, however, he sat cross-legged on his bed,",0.7242524028,
940,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,不承無性,"As she reludrantly folded the heavy quilts,  my mother said, “ Your father has become much  brighter since you came back.”",0.7325561047,
943,私の兄はある職を帯びて遠い九州にいた。,九州,"My elder brother’s profession took him to faraway Kyushu,",0.7749542594,
957,私は先生に手紙を書いて恩借の礼を述べた。正月上京する時に持参するからそれまで待ってくれるようにと断わった。,正月,"I wrote to the sensei, and thanked him for his kindness in lending me the money, and told him that would bring it back when I returned to Tokyo in January.",0.730776906,
957,私は先生に手紙を書いて恩借の礼を述べた。正月上京する時に持参するからそれまで待ってくれるようにと断わった。,上京,"I wrote to the sensei, and thanked him for his kindness in lending me the money, and told him that would bring it back when I returned to Tokyo in January.",0.730776906,
963,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,東京,"”You had better take some dried mushrooms as a present to him when you go to Tokyo next time.”",0.6934876442,
963,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,椎茸,"”You had better take some dried mushrooms as a present to him when you go to Tokyo next time.”",0.6934876442,
978,私は退屈な父の相手としてよく将碁盤に向かった。,将棋盤,"In order to amuse my father, I often sat with him at Japanese chess.",0.6620810628,
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,炬燵,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.",0.4856975675,
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,盤,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.",0.4856975675,
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,櫓,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.",0.4856975675,
983,それを母が灰の中から見付け出して、火箸で挟み上げるという滑稽もあった。,火箸,"It was  my mother who usually found them in the ashes, and picked them out with the tongs, which was quite  a ridiculous sight.",0.6908781528,
991,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,金,I often stretched my arms and even yawned.,0.6894717813,
991,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,香車,I often stretched my arms and even yawned.,0.6894717813,
998,それでいて、この将碁を差したがる父は、単なる娯楽の相手としても私には物足りなかった。,将棋,"Yet my father, who loved to  play chess, was unsatisfactory to me even as a companion for games.",0.6482940316,
1009,私も滞在中にその峠を通り越した。,峠,"My parents' regard, too, passed its height during my stay.",0.6704736352,
1010,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,儒者,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",0.6841402054,
1010,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,切支丹,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",0.6841400862,
1021,東京へ帰ってみると、松飾はいつか取り払われていた。,松飾,"I returned to Tokyo, the gay New Year's decorations had been already removed.",0.7228272557,
1021,町は寒い風の吹くに任せて、どこを見てもこれというほどの正月めいた景気はなかった。,正月,"The street was exposed to the chilly wind, and not a vestige of  the New Year gaiety was anywhere to be seen.",0.6703383923,
1071,狼狽した気味の私は、早速先生の所へ出掛けて、私の読まなければならない参考書を聞いた。,狼狽,"In somewhat of a panic, ”I went to see him at onece,and asked him the titles of the books I had to read.”",0.8544415832,
1094,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,好事家,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",0.5450437069,
1094,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,骨董,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",0.5450437069,
1098,私はついに四月の下旬が来て、やっと予定通りのものを書き上げるまで、先生の敷居を跨がなかった。,敷居,"I did not call on the sensei until the end of April when the work was finished.",0.6442409158,
1101,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,八重桜,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",0.7065207958,
1101,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,初夏,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",0.7065207958,
1104,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,枳殻,"As I walked along, I was  attracted by the fresh buds on the blackish branches  of the hedge of aegle sepiaria, and by the bright  reddish-brown leaves softly reflecting the sunshine  on the bare pomegranate-tree.",0.83161062,
1104,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,柘榴,"As I walked along, I was  attracted by the fresh buds on the blackish branches  of the hedge of aegle sepiaria, and by the bright  reddish-brown leaves softly reflecting the sunshine  on the bare pomegranate-tree.",0.83161062,
1134,躑躅が燃えるように咲き乱れていた。,躑躅,"The flaming azaleas were in full bloom.",0.6193765402,
1135,先生はそのうちで樺色の丈の高いのを指して、「これは霧島でしょう」といった。,霧島,"The sensei pointed to a tall one of orange hue, and said:”I suppose this is kirishima.”.",0.4946670234,
1137,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,芍薬,"A garden of peonies covered a plot about twenty feet square, but it was too early for the flowers.",0.5230855942,
1143,同じ楓の樹でも同じ色を枝に着けているものは一つもなかった。,楓,Not a single leaf had the same colour as another even on one maple-tree.,0.8204889894,
1144,細い杉苗の頂に投げ被せてあった先生の帽子が風に吹かれて落ちた。,杉苗,"There was a breeze, and the sensei’s hat, perched on the top of a young cedar, fell to the ground.",0.6540266871,
1192,今から予想してかかるような言葉遣いをするのが気に触ったら許してくれたまえ。,言葉遣い,"”Forgive me for speaking as if I expected your father to die.",0.6829875708,
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,杉苗,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",0.6347866654,
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,熊笹,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",0.6347866654,
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,三坪,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",0.6347866654,
1219,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,蟇口,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",0.6818122864,
1219,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,五銭,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",0.6818122864,
