Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無
279,鍬,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,"The man, who was digging the uneven ground to make a new resting-place, stopped his work, and stood looking at us.",,stopped his work,Reduction,原文の「鍬」という具体的な文化的要素が訳文に存在せず、「stopped his work」と一般的な動作に情報が省略されているため。,TRUE
310,小春,私の心は五分と 経たないうちに平素の弾力を回復した。私はそれぎり暗そうなこの雲の影を忘れてしまった。ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,"My heart recovered its usual elasticity in about five minutes, and after that that shadow never affected me till one evening at the end of the Indian Summer when it again oppressed me.",,Indian Summer,Established equivalent,原文の文化的要素である「小春」を、英語圏で慣用的に使われる等価語である「Indian Summer」で表現しているため。,TRUE
312,銀杏,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,"As I talked with the sensei, there came to my mind the image of the huge gingko-tree to which he had specially attracted my attention.",,gingko-tree,Literal translation,原文「銀杏」が、英語圏で樹木名として定着している等価語「gingko」に対応し、さらに「大樹」の「樹」が補足されているため。**,TRUE
317,銀杏,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,"""Do you think the leaves have fallen from the gingko-tree in Zoshigaya yet?""",,gingko-tree,Literal translation,原文「銀杏」を英語圏で定着している訳語「gingko-tree」で対応させているため。,TRUE
318,空坊主,「まだ空坊主にはならないでしょう」,"""Perhaps it is not entirely bare yet.""",,entirely bare,Modulation,[比喩 → 意味]「坊主（比喩）」から「裸/何もない（意味/状態）」へ。比喩表現をその意味内容（Sense）に変換するのは、認識のカテゴリーを変えるModulation（変調）であるため。,TRUE
320,お墓参り,今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,May I go with you when you visit the grave ?,,visit the grave,Literal translation,「お墓（the grave）」へ「参る（visit）」という標準的な直訳です。Modulation（視点変更）の要素（例：「死者に会いに行く」など）もない。,TRUE
331,雑司ヶ谷,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。,All of a sudden the strong memory of Zoshigaya as I called to the sensei came to me.,,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、補足説明を加えていないため。,TRUE
351,座敷,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。,"Once in a while I fell in with some students of his own province, but none of them seemed as friendly with him as I was.",,fell in with,Reduction,原文「座敷」という場所に関する情報が、動詞「同座する」の訳「fell in with」において完全に省略されているため。,TRUE
377,食卓,私は依然として先生に会いに行った。その 内 いつの間にか先生の食卓で 飯 を食うようになった。,"I continued to go to see him, and finally I was sometimes invited to take supper with him, which gave me more opportunities of conversing with his wife.",,take supper with him,Modulation,"[モノ → 行為]食卓（場所/モノ）」を「夕食をとる（行為）」に変換しています。場所から行為への視点変更（Part for Whole, or Object for Action）であるため。",TRUE
393,盃,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,"Drawing her well-shaped eye-brows together, she held to her lips the cup which I had half filled with saké.",saké: A kind of wine made from rice.,the cup,Generalization,原文「盃」が特定の酒器であるのに対し、訳文「the cup」は一般的な飲み物の容器であり、より一般的・中立的な用語に一般化しているため。,TRUE
412,天罰,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,"His wife was silent. But I asked him to explain what he meant. ""It's our nemesis,""he said, laughing aloud.",,nemesis,Modulation,[概念の変更]原文の「天罰」が持つ「天からの罰」という視点から、訳文の「nemesis」が持つ「避けられない報い」という視点に、認知的カテゴリーが変更されているため。,TRUE
424,箱根,私は箱根から貰った絵端書をまだ持っている。,I still have the picture postcard which he sent to me from Hakone.,,Hakone,Borrowing,原文「箱根」を「Hakone」と音写（ローマ字化）し、訳文にも注釈にも補足説明がないため。,TRUE
424,端書,私は箱根から貰った絵端書をまだ持っている。,I still have the picture postcard which he sent to me from Hakone.,,postcard,Literal translation,「端書」＝「Postcard」は辞書的な等価語。,TRUE
425,日光,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"When he went to Nikko, I got a letter from him which contained a maple leaf.",,Nikko,Borrowing,原文「日光」を「Nikko」と音写し、補足説明を加えていないため。,TRUE
425,紅葉(もみじ）,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"When he went to Nikko, I got a letter from him which contained a maple leaf.",,a maple leaf,Literal translation,原文「紅葉の葉」を、英語圏で慣用的に紅葉したカエデの葉を指す等価語「a maple leaf」で対応させているため。,TRUE
429,格子,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,"As the drawing-room in his house was next to the entrance-hall, my ears could catch the voices clearly enough to detect their sharpness, though I stood outside of the entrance-door.",,outside of the entrance-door,Reduction,原文「格子」という建築要素が英訳では訳出されず、「outside of the entrance-door」という位置情報で処理されているため。,TRUE
437,袴,私は帰ったなりまだ袴を着けていた。私はそれなり表へ出た。,"I still wore my hakama, so I went out at once.",hakama: A kind of kilt worn by students.,hakama,Amplification,原文「袴」を「hakama」と借用し、注釈で「A kind of kilt worn by students.」と詳細な説明（増幅）を加えているため。,TRUE
438,表へ出た,私は帰ったなりまだ袴を着けていた。私はそれなりすぐ表へ出た。,"I still wore my hakama, so I went out at once.",hakama: A kind of kilt worn by students.,went out,Literal translation,原文「表へ出た」を「外に出る」という意味の「went out」と直訳しており、形式・機能・意味が一致しているため。,TRUE
443,魚の骨が喉に刺さった時のように,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,It tortured me like a fish-bone stuck in my throat.,,like a fish-bone stuck in my throat,Literal translation,英語として極めて自然的で、慣用的な表現。「魚の骨(fish-bone)」が「喉に刺さる(stuck in my throat)」という表現は、英語圏でもそのまま通じる。形式・意味・機能が一致する言葉を並べているため。,TRUE
462,心丈夫,「そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,It hardly seems right for me to speak like this.,,なし,Reduction,「心丈夫」という夫の心理状態を表す情報が英訳文「It hardly seems right for me to speak like this.」に直接的に対応する形で含まれておらず、完全に省略されているため。,TRUE
489,横浜,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,The sensei had gone out to Shinbashi to see a friend off who was going abroad by the steamer which was to leave Yokohama that day.,,Yokohama,Borrowing,原文「横浜」を「Yokohama」と音写（ローマ字化）し、補足説明を加えていないため。,TRUE
489,新橋,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,The sensei had gone out to Shinbashi to see a friend off who was going abroad by the steamer which was to leave Yokohama that day.,,Shinbashi,Borrowing,原文「新橋」を「Shinbashi」と音写し、英訳・注釈のいずれにも補足説明を加えていないため。,TRUE
494,座敷,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,So I had a talk with his wife while I waited in his drawing-room.,,drawing-room,Adaptation,原文「座敷」が訳文「drawing-room（応接間）」に対応し、畳敷きという具体的な形態の情報が失われ、応接間に置き換わっているため。,TRUE
504,敬意,だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,"I, who had come into close contact with him, seemed to be the only one who had either knowledge of or respect for his learning or his ideas.",,respect,Literal translation,原文「敬意」を、辞書的な意味の通りに「respect」と直訳し、形式・機能・意味が一致しているため。,TRUE
507,謙遜,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,"To me that answer was too modest, until I realized that it showed his cold critical attitude toward the world.",,modest,Literal translation,原文「謙遜」を「modest」と辞書的な意味の通りに直訳しており、形式・機能・意味が一致しているため。,TRUE
531,東京,奥さんは東京の人であった。それはかつて先生からも奥さん自身からも聞いて知っていた。,I heard from both the sensei and his wife that she was a native of Tokyo.,,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,TRUE
533,鳥取,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"I had heard her say in a joking manner that to speak exactly she was half Edokko.For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",,Tottori,Borrowing,原文「鳥取」を「Tottori」と音写し、補足説明を加えていないため。,TRUE
533,江戸,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"I had heard her say in a joking manner that to speak exactly she was half Edokko.For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",Edokko: A native of Tokyo.,Edo,Amplification,原文「江戸」を「Edo」と借用しつつ、「when Tokyo was still called Edo」と説明（増幅）を加えているため。,TRUE
535,新潟県人,ところが先生は全く方角違いの新潟県人であった。,"But the sensei's home was Niigata, a province far away from either Tottori or Tokyo.",,"Niigata, a province far away from either Tottori or Tokyo",Amplification,"Amplification,原文「新潟県人」を「Niigata」と地名で示し、さらに「a province far away from either Tottori or Tokyo」と原文にない地理的情報（詳細）を増補しているため。",TRUE
553,花時分,或る時花時分に私は先生といっしょに上野へ行った。そうしてそこで美しい 一対 の 男女 を見た。,"Once in spring-time I went with him to Ueno, and saw a charming couple walking close together under the cherry-blossoms.",,spring-time,Modulation,[部分 → 全体]「花（部分/象徴）」という概念を「春（全体/季節）」という概念に置き換えているため。,TRUE
594,鶯溪,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,The sensei and I walked slowly along from the back of the Imperial Museum toward Uguisudani.,,Uguisudani,Borrowing,原文「鶯渓」を「Uguisudani」と音写し、補足説明を加えていないため。,TRUE
595,垣,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",,the hedge,Literal translation,辞書的な名詞の対応。,TRUE
595,幽邃,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",,solitary and mysterious,Modulation,[単一概念 → 分析的属性]「幽邃（奥深くて静か）」という一語の持つ質感を、「solitary and mysterious(孤独で、かつ神秘的)」と分析的に分解・解釈しており、形容詞を重ねて概念を再構成しているため。,TRUE
595,熊笹,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",,bamboo clumps,Generalization,原文「熊笹」という特定の植物名を「bamboo clumps」というより一般的な「竹の茂み」に一般化しているため。**,TRUE
597,雑司ヶ谷,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,"""Do you know the reason why I visit my friend's grave in Zoshigaya every month?""",,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、英訳文および注釈にも一切補足説明がないため。,TRUE
616,お気の毒,「私はお気の毒に思うのです」,"""I am sorry for you.""",,sorry for you,Established equivalent,原文「お気の毒」が、その意味や感情を表す英語圏で定着している表現「sorry for you」で対応されているため。,TRUE
616,気の毒,「気の毒だが信用されないとおっしゃるんですか」,"""Is it true that you cannot trust me, and perhaps hesitate to say so ?""",,hesitate to say so,Modulation,[原因 → 結果]原文の「気の毒だが」という感情を、そこから生じる「そう言うのをためらう（hesitate to say so）」という行動へ視点を変更して訳出しているため。,TRUE
617,椿の花,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,"The camellias, with their heavy strong red, had been in bloom when I was there before, but they were all gone now.",,camellias,Literal translation,原文「椿の花」を、英語圏で定着している訳語「camellias」で対応させているため。,TRUE
618,座敷,先生は座敷からこの椿の花をよく眺める癖があった。,The sensei had a habit of looking at them while he was talking in the drawing-room.,,drawing-room,Adaptation,「Drawing-room」は「客間」全般ではなく、西洋文化特有の「応接間」を指します。日本文化の「座敷」を西洋文化の「Drawing-room」に置き換えているため、GeneralizationではなくAdaptation。,TRUE
618,椿の花,先生は座敷からこの椿の花をよく眺める癖があった。,The sensei had a habit of looking at them while he was talking in the drawing-room.,,them,Generalization,代名詞化は、具体的な名称を避けて一般的な指示語にする処理なので、翻訳技法としては Generalization（一般化） に分類する,TRUE
620,生垣,その時生垣の向うで金魚売りらしい声がした。,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",,hedge,Literal translation,辞書的な名詞の対応,TRUE
620,金魚売り,その時生垣の向うで金魚売りらしい声がした。,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",,goldfish vendor,Literal translation,「Goldfish（金魚）」＋「Vendor（売り）」の直訳。,TRUE
624,針仕事,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,"I knew that my words could be plainly heard by his wife, sitting in the next room, busy with needle-work or some other feminine task.",,needle-work or some other feminine task,Amplification,原文「針仕事」を「needle-work」と訳した上で、さらに「or some other feminine task」という補足的な詳細（説明）を加えているため。,TRUE
632,襖の陰で,すると襖の陰で「あなた」という奥さんの声が二度聞こえた。,But just then we heard his wife calling him twice behind the sliding-doors.,,behind the sliding-doors,Generalization,原文「襖」を、より一般的な引き戸全般を指す「sliding-doors」に一般化しているため。,TRUE
676,秋,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,"It was late autumn, and in these chilly days, no one could be indifferent to the atomosphere of bustle which attended the shortening day.",,autumn,Literal translation,「秋」を「autumn」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
676,肌寒い,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,"It was late autumn, and in these chilly days, no one could be indifferent to the atomosphere of bustle which attended the shortening day.",,chilly,Literal translation,原文「肌寒い」を、形式・機能・意味が一致する「chilly」と辞書的な意味の通りに直訳しているため。,TRUE
693,煙草を飲む,私は 畏まったまま 烟草 を飲んでいた。奥さんが茶の間で何か 下女 に話している声が聞こえた。,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",,smoking,Established equivalent,原文「煙草を飲む」を、英語圏で喫煙行為を指す確立された表現「smoking」で訳しているため。,TRUE
694,茶の間,私は 畏まったまま 烟草 を飲んでいた奥さんが茶の間で何か下女に話している声が聞こえた。,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",,sitting-room,Adaptation,日本固有の家族団欒スペース（茶の間）を、英国文化等の「Sitting-room（居間）」に置き換えているため。,TRUE
694,下女,私は 畏まったまま 烟草 を飲んでいた。奥さんが茶の間で何か 下女 に話している声が聞こえた。,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",,maid,Literal translation,原文「下女」を「maid」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
