Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,辞書に対訳として存在するため。,和英リンク,閲覧日,検閲有無
424,葉書,私は箱根から貰った絵端書をまだ持っている。,I still have with me a postcard that they sent me from Hakone.,,postcard,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%91%89%E6%9B%B8,2026/01/03,TRUE
425,日光,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,Nikko,Borrowing,原文「日光」を「Nikko」と音写し、英訳に補足説明がないため。,,,TRUE
425,紅葉（もみじ）,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,maple leaf,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%B4%85%E8%91%89,2026/01/03,TRUE
429,格子,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,"The living-room was immediately adjoining the front hall, and I could hear well enough to know that it was a quarrel, and that one of the voices, which was raised now and then, belonged to Sensei.",,なし,Reduction,原文「格子」に相当する情報が英訳で完全に省略されており、対応する語句がないため。,,,TRUE
437,袴,私は帰ったなりまだ袴を着けていた。,I had not bothered to take off my dress trousers when I returned.,,dress trousers,Generalization,原文「袴」を「dress trousers」と訳すことで、日本の伝統的な特定の衣服名が失われ、より一般的な「ズボン（のうち正装用のもの）」に抽象化（一般化）されているため。,,,TRUE
438,表へ出た,私はそれなりすぐ表へ出た。,I left my room immediately.,,left my room,Description,「表へ出る」という行為を「部屋を離れる」という具体的な動作の描写に置き換えて説明しているため。,,,TRUE
443,魚の骨が喉に刺さった時のように,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,"It bothered me terribly, like a fish bone in my throat.",,like a fish bone in my throat,Literal translation,fish bone(魚の骨)＋in my throat(喉に刺さる)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
462,心丈夫,そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,"Of course, my last remark would lead one to suppose that the husband is self-reliant.Which is laughable.",,self-reliant,Adaptation,「心丈夫」と「Self-reliant」は上下関係（具体⇔抽象）ではない。そして「頼りになる（依存を受け止める）」という日本的な肯定概念を、「自立している（依存しない）」と読者文化になじんだ表現に解釈できるため。,,,TRUE
489,横浜,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,Yokohama,Borrowing,原文「横浜」を「Yokohama」と音写（ローマ字化）し、英訳にも注釈にも一切補足説明がないため。,,,TRUE
489,新橋,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,Shimbashi,Borrowing,原文「新橋」が「Shimbashi」と音写（ローマ字化）され、訳文にも注釈にも補足説明がないため。,,,TRUE
494,座敷,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,"While waiting for Sensei, therefore, I talked to his wife.",,なし,Reduction,原文「座敷」という空間的・文化的要素が、英訳に全く対応する語句として現れておらず、完全に省略されているため。,,,TRUE
504,敬意,先生はまるで世間に名前を知られていない人であった。だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,"Sensei lived in complete obscurity. Apart from myself, there was no one who knew of Sensei's scholarship or his ideas.",,なし,Reduction,原文「敬意を払うもの」という情報に含まれる「敬意」の概念が、直接的に訳されていないため。,,,TRUE
507,謙遜,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,"This remark struck me as being too modest, and I wondered whether it did not spring from a contempt of the outside world.",,modest,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%AC%99%E9%81%9C,2026/01/03,TRUE
531,東京,奥さんは東京の人であった。,She was a Tokyo woman.,,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,,,TRUE
533,鳥取,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,Tottori,Borrowing,原文「鳥取」を「Tottori」と音写（ローマ字化）し、補足説明を加えていないため。,,,TRUE
533,江戸,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,"Yedo, when Tokyo was still known as Yedo",Amplification,"Amplification,原文「江戸」を「Yedo」と音写（借用）し、それに「when Tokyo was still known as Yedo」という補足説明（増幅）を加えているため。",,,TRUE
535,新潟県人,ところが先生は全く方角違いの新潟県人であった。,"Sensei, on the other hand, was from the province of Niigata.",,from the province of Niigata,Description,「the province of...」という表現を用いて、その人物の出身地の行政的性質や枠組みを説明（記述）しているため。,,,TRUE
553,花時分,或る時花時分に私は先生といっしょに上野へ行った。,"One day, during the flower-viewing season, Sensei and I went to Ueno.",,flower-viewing season,Description,原文の言葉（音訳）を使わず、その用語が持つ「機能（花を観賞する時期）」の説明に置き換えているため。,,,TRUE
594,鶯溪,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,"Sensei and I walked slowly in the direction of Uguisudani, past the back of the museum.",,Uguisudani,Borrowing,原文「鶯渓」を「Uguisudani」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,,,TRUE
595,垣,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,fencing,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%9E%A3,2026/01/04,TRUE
595,幽邃,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,なし,Reduction,原文の「幽邃」に相当する美的・情緒的な情報が、訳文では完全に省略されているため。,,,TRUE
595,熊笹,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,dwarf bamboos,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%86%8A%E7%AC%B9,2026/01/03,TRUE
597,雑司ヶ谷,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,"""Do you know why I go every month to my friend's grave in Zoshigaya?""",,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、補足説明を加えていないため。,,,TRUE
616,お気の毒,「私はお気の毒に思うのです」,"""I am simply sorry for you.""",,sorry for you,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E3%81%8A%E6%B0%97%E3%81%AE%E6%AF%92,2026/01/03,TRUE
616,気の毒,「気の毒だが信用されないとおっしゃるんですか」,"""I deserve your sympathy but not your trust. Is that what you mean, Sensei?""",,I deserve your sympathy,Description,「気の毒」という語そのものの直訳ではなく、「同情に値する（deserve sympathy）」という、その言葉の意味内容や定義を説明する表現に置き換えているため。,,,TRUE
617,椿の花,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,"Not long before, the garden had been full of camellias.But now, the flowers, which had brightened the scenery with their rich, red color, were all gone.",,camellias,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%A4%BF,2026/01/03,TRUE
618,座敷,先生は座敷からこの椿の花をよく眺める癖があった。,It had been Sensei's custom to look out from his room and gaze at them.,,his room,Generalization,原文「座敷」が指す特定の日本家屋の部屋を、より一般的・中立的な用語である「his room」に一般化しているため。,,,TRUE
620,生垣,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,hedge,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%94%9F%E5%9E%A3,2026/01/03,TRUE
620,金魚売り,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,goldfish vendor,Literal translation,goldfish(金魚)＋vendor(売り)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
624,針仕事,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,"I knew that Sensei's wife was in the next room, busy at her sewing or some such work. And I knew also that she could hear what we were saying.",,sewing,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%87%9D%E4%BB%95%E4%BA%8B,2026/01/03,TRUE
632,襖の陰で,私はもう少し先まで同じ道を 辿って行きたかった。すると 襖 の陰で「あなた、あなた」という奥さんの声が二度聞こえた。,"I wanted to pursue the conversation, but we were interrupted by the voice of Sensei's wife, calling him from behind the door.",,behind the door,Generalization,原文「襖」を、より一般的・中立的な用語である「door」に一般化（抽象化）しているため。,,,TRUE
676,秋,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,It was at the time of the year when the days grow shorter and there is everywhere a feeling of restless activity.,,the time of the year,Generalization,「秋」という具体的な季節名を、「the time of the year（時期）」というより一般的・中立的な表現に抽象化しているため。,,,TRUE
676,肌寒い,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,It was at the time of the year when the days grow shorter and there is everywhere a feeling of restless activity.,,なし,Reduction,原文の「肌寒い」という季節の感覚を示す情報が、英訳には明確な形で表現されず完全に省略されているため。,,,TRUE
693,煙草を飲む,私は畏まったまま烟草を飲んでいた。,"sitting stiffly, I began to smoke.",,to smoke,Generalization,「飲む」という日本語特有の古い慣用表現を、現代英語で一般的な行為を指す中立的な smoke に置き換えているため 。,,,TRUE
694,茶の間,奥さんが茶の間で何か下女に話している声が聞こえた。," I could hear Sensei's wife talking to the maid in the morning room, which was along the same corridor as the study.",,morning room,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%8C%B6%E3%81%AE%E9%96%93,2026/01/03,TRUE
694,下女,奥さんが茶の間で何か下女に話している声が聞こえた。," I could hear Sensei's wife talking to the maid in the morning room, which was along the same corridor as the study.",,maid,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E4%B8%8B%E5%A5%B3,2026/01/03,TRUE
700,鹿爪らしく,そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,"She seemed both surprised and amused when she saw me sitting there, stiff and serious like a strange guest.",,stiff and serious,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%B9%BF%E7%88%AA%E3%82%89%E3%81%97%E3%81%84,2026/01/03,TRUE
709,長火鉢,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"An iron kettle was singing on a handsome, long brazier in the morning room.",,long brazier,Literal translation,long(長)＋brazier(火鉢)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
